,offset,scale,noise_covariance
Acc_low_X,-2.929240222167969,68.64804469273709,4.901285792887233e-06
Acc_low_Y,-2.8297091959635416,47.30702598652567,5.50078838686158e-06
Acc_low_Z,-4.932108089192709,53.54248366013072,1.4557616329391775e-05
Gyro_low_X,7.459673783373833,,0.0317396680710235
Gyro_low_Y,-7.308900500353176,,0.0443831639326295
Gyro_low_Z,4.752570744613806,,0.0445267527049027
Acc_X,-26.14224597934087,892.7941648330649,0.0005535124255652
Acc_Y,27.139143499151867,1153.5724559437886,0.0005340839641684
Acc_Z,0.0,inf,0.0
Gyro_X,224.97530550429028,0.9534632504932962,11883.662903698836
Gyro_Y,-221.3428502980868,0.9731297413241904,11409.787730445569
Gyro_Z,143.44112009569804,1.4964817991726556,4826.382160626648
