Time,Acc_low_X,Acc_low_Y,Acc_low_Z,Gyro_low_X,Gyro_low_Y,Gyro_low_Z,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Euler_X,Euler_Y,Euler_Z
0,-1.931884765625,-2.84619140625,-4.94384765625,7.328244209289551,-7.648854732513428,5.358778476715088,-28.201005935668945,18.708873748779297,0.0,22.314504623413086,-23.29076385498047,16.317480087280273,-25.31169891357422,16.306644439697266,0.0
5,-1.93115234375,-2.84619140625,-4.940673828125,7.389312744140625,-7.2366414070129395,4.56488561630249,-28.215503692626953,18.710668563842773,0.0,22.351451873779297,-23.326946258544922,16.34030532836914,-26.701873779296875,17.454673767089844,0.0
11,-1.935546875,-2.84521484375,-4.94091796875,7.190839767456055,-6.992366313934326,4.687022686004639,-28.199087142944336,18.751117706298828,0.0,22.387405395507812,-23.361907958984375,16.363740921020508,-27.166885375976562,17.854751586914062,0.0
16,-1.933349609375,-2.84423828125,-4.9384765625,7.572519302368164,-7.43511438369751,4.732824325561523,-28.204723358154297,18.739276885986328,0.0,22.43284034729004,-23.406518936157227,16.39213752746582,-27.388277053833008,18.03900146484375,0.0
21,-1.936279296875,-2.8447265625,-4.945556640625,7.465648651123047,-7.282442569732666,5.083969593048096,-28.17438507080078,18.74616813659668,0.0,22.470169067382812,-23.442930221557617,16.417556762695312,-27.51371192932129,18.149568557739258,0.0
26,-1.932861328125,-2.843994140625,-4.943359375,7.541984558105469,-7.389312744140625,4.793893337249756,-28.183027267456055,18.722312927246094,0.0,22.50787925720215,-23.479877471923828,16.441526412963867,-27.59271240234375,18.21326446533203,0.0
31,-1.9306640625,-2.844970703125,-4.949951171875,7.190839767456055,-7.496183395385742,4.702290058135986,-28.167232513427734,18.68360710144043,0.0,22.543832778930664,-23.517358779907227,16.465038299560547,-27.643272399902344,18.247751235961914,0.0
36,-1.92724609375,-2.837646484375,-4.939453125,7.358778476715088,-7.740458011627197,4.824427604675293,-28.15528678894043,18.691675186157227,0.0,22.58062744140625,-23.556060791015625,16.489160537719727,-27.674617767333984,18.268972396850586,0.0
41,-1.927978515625,-2.844482421875,-4.94482421875,7.190839767456055,-7.664122104644775,4.809160232543945,-28.18897247314453,18.673688888549805,0.0,22.616580963134766,-23.59438133239746,16.513206481933594,-27.699462890625,18.279600143432617,0.0
46,-1.93017578125,-2.84423828125,-4.938232421875,7.511450290679932,-7.389312744140625,4.85496187210083,-28.21095085144043,18.711301803588867,0.0,22.654138565063477,-23.631328582763672,16.5374813079834,-27.716548919677734,18.289295196533203,0.0
51,-1.93310546875,-2.8447265625,-4.9443359375,7.664122104644775,-6.931297779083252,4.793893337249756,-28.18468475341797,18.72081184387207,0.0,22.692459106445312,-23.665985107421875,16.561450958251953,-27.724090576171875,18.296852111816406,0.0
56,-1.931396484375,-2.84326171875,-4.943603515625,7.6946563720703125,-7.312977313995361,4.442748069763184,-28.178258895874023,18.709579467773438,0.0,22.730932235717773,-23.702550888061523,16.583663940429688,-27.72654151916504,18.297609329223633,0.0
61,-1.9306640625,-2.843994140625,-4.941162109375,7.465648651123047,-7.572519302368164,4.381679534912109,-28.195823669433594,18.708324432373047,0.0,22.768260955810547,-23.740413665771484,16.605571746826172,-27.728090286254883,18.294170379638672,0.0
66,-1.932861328125,-2.84228515625,-4.944580078125,7.72519063949585,-7.4809160232543945,4.702290058135986,-28.163585662841797,18.721683502197266,0.0,22.806886672973633,-23.77781867980957,16.62908363342285,-27.7232723236084,18.2899169921875,0.0
71,-1.9345703125,-2.844970703125,-4.943603515625,7.847328186035156,-7.099236488342285,4.534351348876953,-28.18739891052246,18.735576629638672,0.0,22.84612274169922,-23.81331443786621,16.651756286621094,-27.717559814453125,18.286466598510742,0.0
76,-1.93017578125,-2.847900390625,-4.943115234375,7.3740458488464355,-7.496183395385742,4.6259541511535645,-28.2211971282959,18.69281005859375,0.0,22.882993698120117,-23.85079574584961,16.67488670349121,-27.714460372924805,18.276716232299805,0.0
81,-1.927734375,-2.8486328125,-4.94140625,7.175572395324707,-7.404580116271973,4.748091697692871,-28.238500595092773,18.67420196533203,0.0,22.91887092590332,-23.887819290161133,16.698627471923828,-27.711532592773438,18.265262603759766,0.0
86,-1.9296875,-2.85009765625,-4.939208984375,7.389312744140625,-7.893129825592041,4.473282337188721,-28.256799697875977,18.695383071899414,0.0,22.95581817626953,-23.927284240722656,16.720993041992188,-27.70696449279785,18.25191307067871,0.0
91,-1.931640625,-2.8486328125,-4.93994140625,7.404580116271973,-7.404580116271973,4.396946430206299,-28.238245010375977,18.713285446166992,0.0,22.992841720581055,-23.96430778503418,16.742977142333984,-27.699905395507812,18.241167068481445,0.0
97,-1.931884765625,-2.849609375,-4.945068359375,7.328244209289551,-7.3740458488464355,4.7633585929870605,-28.22454071044922,18.7004451751709,0.0,23.03681182861328,-24.00855255126953,16.771556854248047,-27.684446334838867,18.222169876098633,0.0
102,-1.936279296875,-2.847900390625,-4.937744140625,7.496183395385742,-7.664122104644775,4.870229244232178,-28.233699798583984,18.76203155517578,0.0,23.07429313659668,-24.046873092651367,16.795907974243164,-27.675003051757812,18.21147918701172,0.0
107,-1.932373046875,-2.84716796875,-4.93212890625,7.496183395385742,-7.465648651123047,4.595419883728027,-28.257539749145508,18.742816925048828,0.0,23.111774444580078,-24.08420181274414,16.818885803222656,-27.66582489013672,18.200109481811523,0.0
112,-1.93310546875,-2.849853515625,-4.939453125,7.4809160232543945,-7.358778476715088,4.641221523284912,-28.24812126159668,18.72591781616211,0.0,23.149179458618164,-24.120996475219727,16.842092514038086,-27.655498504638672,18.187898635864258,0.0
117,-1.931396484375,-2.841796875,-4.93603515625,7.190839767456055,-6.931297779083252,4.809160232543945,-28.197668075561523,18.73185920715332,0.0,23.18513298034668,-24.15565299987793,16.866138458251953,-27.64377212524414,18.177490234375,0.0
122,-1.92919921875,-2.843017578125,-4.93115234375,7.4809160232543945,-7.175572395324707,4.732824325561523,-28.232013702392578,18.723108291625977,0.0,23.222537994384766,-24.191530227661133,16.889802932739258,-27.63155746459961,18.16502571105957,0.0
127,-1.933349609375,-2.845703125,-4.939697265625,7.083969593048096,-7.465648651123047,5.160305500030518,-28.211898803710938,18.733806610107422,0.0,23.257957458496094,-24.228858947753906,16.915603637695312,-27.619997024536133,18.151182174682617,0.0
132,-1.932861328125,-2.843994140625,-4.9375,7.557251930236816,-7.70992374420166,4.213740348815918,-28.20756721496582,18.737834930419922,0.0,23.295743942260742,-24.26740837097168,16.93667221069336,-27.605562210083008,18.13597869873047,0.0
137,-1.9306640625,-2.848876953125,-4.94091796875,7.358778476715088,-7.770992279052734,4.58015251159668,-28.237796783447266,18.70153045654297,0.0,23.332538604736328,-24.306262969970703,16.95957374572754,-27.592878341674805,18.118906021118164,0.0
142,-1.934814453125,-2.83935546875,-4.93798828125,7.312977313995361,-7.633587837219238,4.870229244232178,-28.16338348388672,18.761234283447266,0.0,23.369104385375977,-24.344430923461914,16.983924865722656,-27.577455520629883,18.10443687438965,0.0
