Time,Acc_low_X,Acc_low_Y,Acc_low_Z,Gyro_low_X,Gyro_low_Y,Gyro_low_Z,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Euler_X,Euler_Y,Euler_Z
0,-3.93017578125,-2.830078125,-4.9140625,7.328244209289551,-7.755725383758545,4.427480697631836,-24.216373443603516,34.724342346191406,0.0,65.62442779541016,-69.45252227783203,39.64809036254883,-23.59058380126953,33.99869155883789,0.0
5,-3.929443359375,-2.833251953125,-4.915771484375,7.43511438369751,-7.41984748840332,4.396946430206299,-24.237415313720703,34.70484924316406,0.0,65.66160583496094,-69.4896240234375,39.670074462890625,-23.894224166870117,34.331932067871094,0.0
10,-3.928955078125,-2.833251953125,-4.923095703125,7.312977313995361,-7.43511438369751,4.610687255859375,-24.218963623046875,34.67154312133789,0.0,65.69817352294922,-69.52680206298828,39.6931266784668,-23.977821350097656,34.42007064819336,0.0
15,-3.9267578125,-2.833251953125,-4.914306640625,7.4809160232543945,-7.007633686065674,4.702290058135986,-24.247032165527344,34.6925163269043,0.0,65.73558044433594,-69.56184387207031,39.716636657714844,-24.016948699951172,34.4617805480957,0.0
20,-3.928955078125,-2.830810546875,-4.91357421875,7.511450290679932,-7.206106662750244,4.702290058135986,-24.22581672668457,34.71628189086914,0.0,65.77313995361328,-69.5978775024414,39.74014663696289,-24.02861976623535,34.48379135131836,0.0
25,-3.92919921875,-2.8330078125,-4.9169921875,7.3740458488464355,-7.022900581359863,4.595419883728027,-24.232837677001953,34.698760986328125,0.0,65.81001281738281,-69.63299560546875,39.76312255859375,-24.03190040588379,34.490325927734375,0.0
30,-3.9267578125,-2.831298828125,-4.92041015625,7.496183395385742,-6.946564674377441,5.083969593048096,-24.215993881225586,34.67213439941406,0.0,65.84749603271484,-69.66773223876953,39.788543701171875,-24.026060104370117,34.486515045166016,0.0
35,-3.9267578125,-2.833984375,-4.9140625,7.526717662811279,-7.3740458488464355,4.977099418640137,-24.25322914123535,34.69178771972656,0.0,65.8851318359375,-69.70460510253906,39.81343078613281,-24.021522521972656,34.47991180419922,0.0
40,-3.9267578125,-2.83447265625,-4.926025390625,7.312977313995361,-7.083969593048096,4.916030406951904,-24.225065231323242,34.641700744628906,0.0,65.92169952392578,-69.74002838134766,39.8380126953125,-24.011642456054688,34.466407775878906,0.0
45,-3.9267578125,-2.831787109375,-4.919677734375,7.618320465087891,-7.221374034881592,4.702290058135986,-24.221637725830078,34.673980712890625,0.0,65.95979309082031,-69.77613830566406,39.86152267456055,-23.99837303161621,34.45468521118164,0.0
50,-3.927978515625,-2.833740234375,-4.9228515625,7.267175674438477,-7.618320465087891,4.610687255859375,-24.225379943847656,34.664730072021484,0.0,65.99613189697266,-69.8142318725586,39.88457489013672,-23.986000061035156,34.43917465209961,0.0
55,-3.92578125,-2.8330078125,-4.91650390625,7.465648651123047,-7.41984748840332,4.5190839767456055,-24.24140739440918,34.677425384521484,0.0,66.03346252441406,-69.85133361816406,39.907169342041016,-23.97309684753418,34.425052642822266,0.0
61,-3.925537109375,-2.83642578125,-4.911865234375,7.282442569732666,-7.328244209289551,4.427480697631836,-24.280174255371094,34.686676025390625,0.0,66.07715606689453,-69.89530181884766,39.93373489379883,-23.95643424987793,34.40463638305664,0.0
66,-3.926513671875,-2.834228515625,-4.92138671875,7.4809160232543945,-7.496183395385742,4.351145267486572,-24.236085891723633,34.65957260131836,0.0,66.11456298828125,-69.93278503417969,39.95549011230469,-23.941728591918945,34.388092041015625,0.0
71,-3.928955078125,-2.838623046875,-4.913818359375,7.4809160232543945,-7.14503812789917,4.687022686004639,-24.28430938720703,34.69682693481445,0.0,66.15196990966797,-69.96851348876953,39.97892379760742,-23.929725646972656,34.37539291381836,0.0
76,-3.930419921875,-2.833740234375,-4.921630859375,7.358778476715088,-7.206106662750244,5.022900581359863,-24.22344398498535,34.686378479003906,0.0,66.18876647949219,-70.00454711914062,40.0040397644043,-23.913654327392578,34.361122131347656,0.0
81,-3.93017578125,-2.8359375,-4.9169921875,7.389312744140625,-6.885496139526367,4.671755790710449,-24.252931594848633,34.69851303100586,0.0,66.22571563720703,-70.03897094726562,40.02739715576172,-23.89891815185547,34.34864807128906,0.0
86,-3.931396484375,-2.83447265625,-4.916259765625,7.4809160232543945,-6.824427604675293,4.900763511657715,-24.24119758605957,34.713294982910156,0.0,66.26312255859375,-70.07308959960938,40.051902770996094,-23.882694244384766,34.33677291870117,0.0
91,-3.927734375,-2.83251953125,-4.917236328125,7.328244209289551,-6.671755790710449,4.931297779083252,-24.231605529785156,34.68891525268555,0.0,66.29976654052734,-70.1064453125,40.076560974121094,-23.866439819335938,34.32379913330078,0.0
96,-3.9248046875,-2.83544921875,-4.920166015625,7.526717662811279,-7.282442569732666,4.900763511657715,-24.252206802368164,34.650020599365234,0.0,66.33740234375,-70.14286041259766,40.10106658935547,-23.850088119506836,34.30561447143555,0.0
101,-3.929931640625,-2.831787109375,-4.91748046875,7.267175674438477,-7.14503812789917,4.4122138023376465,-24.220741271972656,34.70463943481445,0.0,66.37374114990234,-70.1785888671875,40.12312698364258,-23.833248138427734,34.290714263916016,0.0
106,-3.9287109375,-2.83642578125,-4.92431640625,7.496183395385742,-7.267175674438477,4.56488561630249,-24.2402400970459,34.65741729736328,0.0,66.41122436523438,-70.21492767333984,40.14595031738281,-23.81610107421875,34.27281951904297,0.0
111,-3.927001953125,-2.8359375,-4.9189453125,7.618320465087891,-7.083969593048096,4.56488561630249,-24.25448226928711,34.66886520385742,0.0,66.4493179321289,-70.25035095214844,40.16877365112305,-23.798873901367188,34.25629425048828,0.0
116,-3.9306640625,-2.831787109375,-4.9091796875,7.328244209289551,-7.633587837219238,4.29007625579834,-24.241273880004883,34.743656158447266,0.0,66.4859619140625,-70.28852081298828,40.190223693847656,-23.7823486328125,34.240196228027344,0.0
121,-3.931640625,-2.83349609375,-4.918212890625,7.328244209289551,-7.2366414070129395,4.6259541511535645,-24.228092193603516,34.70927047729492,0.0,66.5226058959961,-70.32470703125,40.21335220336914,-23.765167236328125,34.224395751953125,0.0
126,-3.92431640625,-2.832763671875,-4.915771484375,7.9083967208862305,-7.129770755767822,4.595419883728027,-24.244626998901367,34.670997619628906,0.0,66.56214904785156,-70.36035919189453,40.236328125,-23.745773315429688,34.20746612548828,0.0
131,-3.927734375,-2.834228515625,-4.913818359375,7.496183395385742,-7.14503812789917,4.778625965118408,-24.253646850585938,34.69887924194336,0.0,66.5996322631836,-70.39608764648438,40.26021957397461,-23.72869300842285,34.19145965576172,0.0
136,-3.92919921875,-2.831787109375,-4.917236328125,7.603053569793701,-7.2366414070129395,5.022900581359863,-24.222946166992188,34.70064163208008,0.0,66.63764953613281,-70.4322738647461,40.285335540771484,-23.70989227294922,34.174964904785156,0.0
142,-3.927490234375,-2.8349609375,-4.91796875,7.41984748840332,-7.068702220916748,4.931297779083252,-24.248655319213867,34.67849349975586,0.0,66.68216705322266,-70.47468566894531,40.31492233276367,-23.685731887817383,34.151607513427734,0.0
147,-3.924072265625,-2.832763671875,-4.9130859375,7.328244209289551,-6.885496139526367,4.992366313934326,-24.25230598449707,34.68032455444336,0.0,66.71881103515625,-70.50910949707031,40.33988571166992,-23.669458389282227,34.13619613647461,0.0
152,-3.930908203125,-2.82861328125,-4.916259765625,7.43511438369751,-7.190839767456055,4.793893337249756,-24.197877883911133,34.72378921508789,0.0,66.75598907470703,-70.5450668334961,40.363853454589844,-23.650779724121094,34.120635986328125,0.0
157,-3.92626953125,-2.8330078125,-4.913330078125,7.312977313995361,-7.312977313995361,4.656488418579102,-24.248825073242188,34.693756103515625,0.0,66.79255676269531,-70.58163452148438,40.38713455200195,-23.63433837890625,34.1034049987793,0.0
162,-3.92578125,-2.832763671875,-4.91650390625,7.938931465148926,-7.557251930236816,4.687022686004639,-24.239559173583984,34.678001403808594,0.0,66.8322525024414,-70.61942291259766,40.41056823730469,-23.61449432373047,34.084468841552734,0.0
167,-3.9287109375,-2.8330078125,-4.91796875,7.465648651123047,-7.038167953491211,4.488549709320068,-24.23127555847168,34.69143295288086,0.0,66.86958312988281,-70.65461730957031,40.43301010131836,-23.596723556518555,34.0684814453125,0.0
172,-3.927001953125,-2.832275390625,-4.918212890625,7.5877861976623535,-7.5877861976623535,4.29007625579834,-24.228715896606445,34.68049240112305,0.0,66.90752410888672,-70.69255828857422,40.45446014404297,-23.578262329101562,34.049442291259766,0.0
177,-3.9248046875,-2.837158203125,-4.9150390625,7.3740458488464355,-7.251908302307129,4.549618244171143,-24.2788143157959,34.66695785522461,0.0,66.94439697265625,-70.72882080078125,40.47720718383789,-23.562257766723633,34.031681060791016,0.0
182,-3.928466796875,-2.8369140625,-4.91796875,7.541984558105469,-7.206106662750244,4.687022686004639,-24.261356353759766,34.68054962158203,0.0,66.98210906982422,-70.76485443115234,40.500640869140625,-23.54485321044922,34.0145263671875,0.0
187,-3.92822265625,-2.83935546875,-4.920654296875,7.43511438369751,-7.068702220916748,4.916030406951904,-24.2731876373291,34.662147521972656,0.0,67.019287109375,-70.80020141601562,40.52522277832031,-23.528240203857422,33.997528076171875,0.0
192,-3.92724609375,-2.833984375,-4.918212890625,7.41984748840332,-6.687022686004639,4.534351348876953,-24.241132736206055,34.678131103515625,0.0,67.05638885498047,-70.83363342285156,40.54789352416992,-23.510791778564453,33.9827995300293,0.0
197,-3.923583984375,-2.834716796875,-4.920166015625,7.389312744140625,-6.931297779083252,5.099236488342285,-24.249258041381836,34.643409729003906,0.0,67.09333801269531,-70.8682861328125,40.57339096069336,-23.493675231933594,33.96592330932617,0.0
202,-3.92822265625,-2.833984375,-4.923095703125,7.358778476715088,-7.404580116271973,5.038167953491211,-24.226058959960938,34.66482162475586,0.0,67.13013458251953,-70.90531158447266,40.59858322143555,-23.476093292236328,33.94728469848633,0.0
207,-3.927490234375,-2.83203125,-4.92041015625,7.282442569732666,-6.717557430267334,4.732824325561523,-24.219982147216797,34.675411224365234,0.0,67.16654968261719,-70.93889617919922,40.62224578857422,-23.458730697631836,33.93229293823242,0.0
212,-3.927001953125,-2.83984375,-4.921142578125,7.6946563720703125,-7.2366414070129395,4.839694499969482,-24.278175354003906,34.650672912597656,0.0,67.20502471923828,-70.97508239746094,40.64644241333008,-23.440738677978516,33.91412353515625,0.0
217,-3.927734375,-2.83056640625,-4.91943359375,7.541984558105469,-7.41984748840332,4.534351348876953,-24.21097183227539,34.68452453613281,0.0,67.24273681640625,-71.0121841430664,40.66911315917969,-23.42190170288086,33.89588928222656,0.0
223,-3.928955078125,-2.83203125,-4.912841796875,7.465648651123047,-7.328244209289551,4.717557430267334,-24.237010955810547,34.716400146484375,0.0,67.28752899169922,-71.05615234375,40.697418212890625,-23.396787643432617,33.871707916259766,0.0
228,-3.925537109375,-2.8359375,-4.916748046875,7.465648651123047,-7.175572395324707,4.885496139526367,-24.26345443725586,34.667850494384766,0.0,67.32485961914062,-71.09203338623047,40.72184753417969,-23.379724502563477,33.8544807434082,0.0
233,-3.927490234375,-2.83642578125,-4.92041015625,7.389312744140625,-7.068702220916748,4.85496187210083,-24.25323486328125,34.66505432128906,0.0,67.36180877685547,-71.12738037109375,40.74612045288086,-23.362777709960938,33.83772277832031,0.0
