Time,Acc_low_X,Acc_low_Y,Acc_low_Z,Gyro_low_X,Gyro_low_Y,Gyro_low_Z,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Euler_X,Euler_Y,Euler_Z
0,-2.936767578125,-3.826416015625,-4.924560546875,7.450381755828857,-7.14503812789917,4.717557430267334,-33.71714782714844,25.21607780456543,0.0,23.46870231628418,-22.50687026977539,14.860306739807129,-30.649240493774414,22.655832290649414,0.0
6,-2.93701171875,-3.8251953125,-4.928955078125,7.4809160232543945,-7.14503812789917,4.595419883728027,-33.69072341918945,25.208274841308594,0.0,23.513587951660156,-22.549739837646484,14.887879371643066,-32.10505676269531,23.874895095825195,0.0
11,-2.939697265625,-3.829833984375,-4.92626953125,7.312977313995361,-7.5877861976623535,4.56488561630249,-33.727073669433594,25.22589683532715,0.0,23.550153732299805,-22.587678909301758,14.910703659057617,-32.61114501953125,24.2913875579834,0.0
16,-2.937744140625,-3.8251953125,-4.9189453125,7.450381755828857,-7.358778476715088,5.129770755767822,-33.72865295410156,25.241790771484375,0.0,23.587406158447266,-22.624473571777344,14.936352729797363,-32.85859680175781,24.497983932495117,0.0
21,-2.934814453125,-3.82861328125,-4.9189453125,7.43511438369751,-7.43511438369751,4.6259541511535645,-33.75922393798828,25.212308883666992,0.0,23.624582290649414,-22.661649703979492,14.959482192993164,-33.00693130493164,24.609464645385742,0.0
26,-2.934814453125,-3.8251953125,-4.921630859375,7.404580116271973,-7.2366414070129395,5.068702220916748,-33.724937438964844,25.21223258972168,0.0,23.661605834960938,-22.697832107543945,14.98482608795166,-33.09462356567383,24.678821563720703,0.0
31,-2.931640625,-3.82861328125,-4.92626953125,7.679389476776123,-7.43511438369751,4.977099418640137,-33.737667083740234,25.167972564697266,0.0,23.700002670288086,-22.735008239746094,15.009711265563965,-33.15284729003906,24.71627426147461,0.0
36,-2.935302734375,-3.827880859375,-4.93212890625,7.450381755828857,-6.977099418640137,4.335877895355225,-33.70074462890625,25.180742263793945,0.0,23.737255096435547,-22.769893646240234,15.031390190124512,-33.18828201293945,24.743417739868164,0.0
41,-2.93408203125,-3.827880859375,-4.92431640625,7.557251930236816,-7.14503812789917,4.7633585929870605,-33.734588623046875,25.193382263183594,0.0,23.775041580200195,-22.805618286132812,15.055207252502441,-33.215057373046875,24.761375427246094,0.0
46,-2.93505859375,-3.828857421875,-4.923828125,7.496183395385742,-7.557251930236816,4.366412162780762,-33.740966796875,25.199968338012695,0.0,23.812522888183594,-22.84340476989746,15.07703971862793,-33.233673095703125,24.771018981933594,0.0
51,-2.934326171875,-3.82763671875,-4.919677734375,7.618320465087891,-7.297709941864014,4.992366313934326,-33.7507209777832,25.208711624145508,0.0,23.850614547729492,-22.879894256591797,15.102001190185547,-33.245872497558594,24.777482986450195,0.0
56,-2.9365234375,-3.82470703125,-4.9169921875,7.2366414070129395,-7.526717662811279,4.5190839767456055,-33.73590850830078,25.2391357421875,0.0,23.886796951293945,-22.91752815246582,15.12459659576416,-33.25341796875,24.781339645385742,0.0
61,-2.9365234375,-3.823974609375,-4.9228515625,7.328244209289551,-7.312977313995361,4.809160232543945,-33.707611083984375,25.224328994750977,0.0,23.923439025878906,-22.95409393310547,15.148642539978027,-33.25445556640625,24.781585693359375,0.0
66,-2.9365234375,-3.82421875,-4.92529296875,7.618320465087891,-6.992366313934326,4.839694499969482,-33.69962692260742,25.21696662902832,0.0,23.961530685424805,-22.989055633544922,15.17284107208252,-33.25083541870117,24.78017234802246,0.0
71,-2.939453125,-3.82861328125,-4.92724609375,7.14503812789917,-7.450381755828857,4.595419883728027,-33.71534729003906,25.223983764648438,0.0,23.997255325317383,-23.026308059692383,15.195817947387695,-33.248435974121094,24.774967193603516,0.0
76,-2.9375,-3.826171875,-4.927490234375,7.465648651123047,-7.679389476776123,4.458015441894531,-33.70212173461914,25.21392250061035,0.0,24.034584045410156,-23.06470489501953,15.218108177185059,-33.24179458618164,24.766403198242188,0.0
81,-2.934814453125,-3.829345703125,-4.92333984375,7.450381755828857,-7.206106662750244,4.839694499969482,-33.74685287475586,25.198436737060547,0.0,24.071836471557617,-23.10073471069336,15.24230670928955,-33.23646545410156,24.757923126220703,0.0
87,-2.938232421875,-3.8251953125,-4.928466796875,7.343511581420898,-7.389312744140625,4.366412162780762,-33.68977737426758,25.21881866455078,0.0,24.11589813232422,-23.145071029663086,15.268505096435547,-33.2200813293457,24.74169921875,0.0
92,-2.934326171875,-3.827880859375,-4.925537109375,7.267175674438477,-7.465648651123047,4.396946430206299,-33.72917175292969,25.191808700561523,0.0,24.152233123779297,-23.18239974975586,15.29049015045166,-33.21251678466797,24.730083465576172,0.0
97,-2.93359375,-3.83203125,-4.921875,7.648854732513428,-7.3740458488464355,4.687022686004639,-33.77410888671875,25.187509536743164,0.0,24.19047737121582,-23.219270706176758,15.313924789428711,-33.204349517822266,24.718000411987305,0.0
102,-2.93701171875,-3.82568359375,-4.925048828125,7.358778476715088,-7.343511581420898,4.717557430267334,-33.709571838378906,25.2181396484375,0.0,24.227272033691406,-23.25598907470703,15.337512969970703,-33.19346237182617,24.706939697265625,0.0
107,-2.939697265625,-3.825439453125,-4.931640625,7.557251930236816,-7.43511438369751,5.022900581359863,-33.67544937133789,25.220420837402344,0.0,24.265058517456055,-23.29316520690918,15.362627029418945,-33.17940902709961,24.694902420043945,0.0
112,-2.9345703125,-3.8271484375,-4.923095703125,7.603053569793701,-7.251908302307129,4.488549709320068,-33.733211517333984,25.202056884765625,0.0,24.30307388305664,-23.329423904418945,15.385069847106934,-33.167259216308594,24.682392120361328,0.0
117,-2.93408203125,-3.822265625,-4.92138671875,7.282442569732666,-7.14503812789917,4.671755790710449,-33.707366943359375,25.213773727416992,0.0,24.33948516845703,-23.365148544311523,15.408428192138672,-33.15501022338867,24.67043685913086,0.0
122,-2.93310546875,-3.82666015625,-4.922607421875,7.358778476715088,-7.2366414070129395,4.442748069763184,-33.735233306884766,25.19346046447754,0.0,24.376279830932617,-23.401330947875977,15.430642127990723,-33.143062591552734,24.65677261352539,0.0
127,-2.937744140625,-3.826171875,-4.913818359375,7.526717662811279,-7.541984558105469,4.458015441894531,-33.755741119384766,25.254018783569336,0.0,24.41391372680664,-23.439041137695312,15.452932357788086,-33.13063049316406,24.643667221069336,0.0
132,-2.935791015625,-3.826416015625,-4.923095703125,7.221374034881592,-6.778625965118408,4.931297779083252,-33.72526168823242,25.21282958984375,0.0,24.45001983642578,-23.47293472290039,15.477588653564453,-33.118080139160156,24.632295608520508,0.0
137,-2.937744140625,-3.8291015625,-4.92431640625,7.450381755828857,-6.85496187210083,4.7633585929870605,-33.73436737060547,25.21826934814453,0.0,24.487272262573242,-23.50720977783203,15.501405715942383,-33.10438537597656,24.62037467956543,0.0
142,-2.939697265625,-3.828125,-4.921875,7.740458011627197,-7.206106662750244,4.595419883728027,-33.73267364501953,25.241901397705078,0.0,24.52597427368164,-23.54323959350586,15.524382591247559,-33.08891296386719,24.60724639892578,0.0
147,-2.935546875,-3.824951171875,-4.921875,7.465648651123047,-7.389312744140625,4.916030406951904,-33.72054672241211,25.21759033203125,0.0,24.563302993774414,-23.58018684387207,15.548962593078613,-33.07413101196289,24.592111587524414,0.0
152,-2.9345703125,-3.825439453125,-4.923828125,7.343511581420898,-7.251908302307129,4.778625965118408,-33.71849060058594,25.20372200012207,0.0,24.600021362304688,-23.616445541381836,15.572855949401855,-33.05964660644531,24.57699966430664,0.0
157,-2.9375,-3.825439453125,-4.923095703125,7.648854732513428,-7.312977313995361,4.58015251159668,-33.71446990966797,25.22780418395996,0.0,24.63826560974121,-23.653011322021484,15.595756530761719,-33.043338775634766,24.562191009521484,0.0
162,-2.935546875,-3.82568359375,-4.933349609375,7.526717662811279,-7.099236488342285,4.946564674377441,-33.68015670776367,25.183927536010742,0.0,24.675899505615234,-23.688507080078125,15.620489120483398,-33.02642822265625,24.546886444091797,0.0
168,-2.936279296875,-3.8232421875,-4.91943359375,7.648854732513428,-7.648854732513428,4.778625965118408,-33.716670989990234,25.233652114868164,0.0,24.721792221069336,-23.734399795532227,15.649161338806152,-33.00252151489258,24.522876739501953,0.0
173,-2.93896484375,-3.82568359375,-4.922119140625,7.343511581420898,-7.389312744140625,4.6259541511535645,-33.71656036376953,25.241024017333984,0.0,24.75851058959961,-23.771347045898438,15.672290802001953,-32.98760986328125,24.50786018371582,0.0
