Time,Acc_low_X,Acc_low_Y,Acc_low_Z,Gyro_low_X,Gyro_low_Y,Gyro_low_Z,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Euler_X,Euler_Y,Euler_Z
5,-1.92529296875,-2.822998046875,-4.950927734375,516.0,-476.0,279.0,-27.987409591674805,18.66586685180664,0.0,117.91584777832031,-108.77508544921875,63.7568244934082,-27.62200927734375,18.346698760986328,0.0
10,-1.92626953125,-2.824462890625,-4.958984375,539.0,-473.0,295.0,-27.964611053466797,18.651147842407227,0.0,117.95699310302734,-108.81119537353516,63.77934265136719,-27.77250099182129,18.48065948486328,0.0
15,-1.925537109375,-2.822509765625,-4.961181640625,491.0,-499.0,290.0,-27.94025230407715,18.641679763793945,0.0,117.99447631835938,-108.84928894042969,63.80147933959961,-27.80337905883789,18.508888244628906,0.0
20,-1.919189453125,-2.823974609375,-4.95703125,485.0,-501.0,310.0,-27.98006248474121,18.593196868896484,0.0,118.03150177001953,-108.88753509521484,63.82514190673828,-27.81975746154785,18.50126838684082,0.0
25,-1.921630859375,-2.828125,-4.953369140625,518.0,-508.0,305.0,-28.026262283325195,18.61863899230957,0.0,118.071044921875,-108.92631530761719,63.84842300415039,-27.82941436767578,18.49371337890625,0.0
30,-1.91796875,-2.817626953125,-4.962646484375,527.0,-489.0,301.0,-27.905296325683594,18.57689666748047,0.0,118.11127471923828,-108.9636459350586,63.87139892578125,-27.808536529541016,18.476469039916992,0.0
35,-1.92431640625,-2.82666015625,-4.958740234375,515.0,-479.0,300.0,-27.987239837646484,18.630882263183594,0.0,118.15058898925781,-109.00021362304688,63.8942985534668,-27.800376892089844,18.467191696166992,0.0
40,-1.927490234375,-2.82666015625,-4.9609375,502.0,-493.0,286.0,-27.97297477722168,18.65367889404297,0.0,118.18891143798828,-109.03784942626953,63.91613006591797,-27.788433074951172,18.45758628845215,0.0
45,-1.923095703125,-2.822021484375,-4.956787109375,505.0,-437.0,297.0,-27.958358764648438,18.632015228271484,0.0,118.22746276855469,-109.07120513916016,63.93880081176758,-27.77306365966797,18.447330474853516,0.0
50,-1.927001953125,-2.82763671875,-4.954833984375,519.0,-472.0,298.0,-28.007362365722656,18.6639404296875,0.0,118.26708221435547,-109.10723876953125,63.9615478515625,-27.760866165161133,18.43659019470215,0.0
55,-1.925537109375,-2.826416015625,-4.9560546875,512.0,-451.0,289.0,-27.994396209716797,18.649349212646484,0.0,118.30616760253906,-109.14166259765625,63.98360824584961,-27.746599197387695,18.424663543701172,0.0
60,-1.921875,-2.82275390625,-4.958251953125,531.0,-461.0,298.0,-27.96038818359375,18.61603355407715,0.0,118.3467025756836,-109.1768569946289,64.00635528564453,-27.727293014526367,18.408384323120117,0.0
