Time,Acc_low_X,Acc_low_Y,Acc_low_Z,Gyro_low_X,Gyro_low_Y,Gyro_low_Z,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Euler_X,Euler_Y,Euler_Z
5,-3.928955078125,-2.83349609375,-4.930419921875,499.0,-518.0,322.0,-24.201335906982422,34.641029357910156,0.0,99.51050567626953,-103.29947662353516,64.21318817138672,-23.79480743408203,34.187747955322266,0.0
10,-3.926025390625,-2.830078125,-4.92529296875,514.0,-525.0,338.0,-24.1953182220459,34.650028228759766,0.0,99.54974365234375,-103.33955383300781,64.2389907836914,-23.975088119506836,34.398441314697266,0.0
15,-3.930419921875,-2.8310546875,-4.922119140625,515.0,-490.0,322.0,-24.201826095581055,34.690704345703125,0.0,99.58905792236328,-103.37696075439453,64.2635726928711,-24.024368286132812,34.4708137512207,0.0
20,-3.92626953125,-2.8291015625,-4.921630859375,493.0,-500.0,302.0,-24.197147369384766,34.668975830078125,0.0,99.62669372558594,-103.41513061523438,64.28662872314453,-24.039302825927734,34.49169158935547,0.0
25,-3.928466796875,-2.8291015625,-4.921142578125,506.0,-446.0,301.0,-24.193782806396484,34.68597412109375,0.0,99.66532135009766,-103.44917297363281,64.30960845947266,-24.039283752441406,34.503292083740234,0.0
30,-3.9296875,-2.83251953125,-4.92236328125,504.0,-444.0,315.0,-24.213815689086914,34.68125915527344,0.0,99.70379638671875,-103.48306274414062,64.33365631103516,-24.036306381225586,34.504703521728516,0.0
35,-3.9287109375,-2.8271484375,-4.927001953125,501.0,-468.0,304.0,-24.162912368774414,34.668243408203125,0.0,99.7420425415039,-103.51879119873047,64.35686492919922,-24.02161407470703,34.4974479675293,0.0
40,-3.928466796875,-2.828369140625,-4.92041015625,480.0,-480.0,300.0,-24.190183639526367,34.69070053100586,0.0,99.7786865234375,-103.55543518066406,64.37976837158203,-24.01063346862793,34.48955535888672,0.0
45,-3.927001953125,-2.83203125,-4.925537109375,507.0,-471.0,317.0,-24.207378387451172,34.65110397338867,0.0,99.81739044189453,-103.59139251708984,64.40396881103516,-23.998109817504883,34.47555923461914,0.0
50,-3.927001953125,-2.8310546875,-4.92138671875,505.0,-480.0,290.0,-24.211029052734375,34.670379638671875,0.0,99.85594177246094,-103.62803649902344,64.42610931396484,-23.984731674194336,34.46208572387695,0.0
55,-3.930908203125,-2.827880859375,-4.927978515625,495.0,-488.0,285.0,-24.161212921142578,34.67751693725586,0.0,99.89373016357422,-103.66529083251953,64.44786834716797,-23.966447830200195,34.44783401489258,0.0
60,-3.9296875,-2.8349609375,-4.92626953125,503.0,-497.0,326.0,-24.221893310546875,34.659542083740234,0.0,99.93212890625,-103.70323181152344,64.4727554321289,-23.952577590942383,34.43073272705078,0.0
65,-3.927001953125,-2.8349609375,-4.928955078125,503.0,-515.0,284.0,-24.220443725585938,34.6302490234375,0.0,99.97052764892578,-103.74254608154297,64.49443817138672,-23.937786102294922,34.40982437133789,0.0
70,-3.9267578125,-2.83203125,-4.925537109375,483.0,-460.0,296.0,-24.207895278930664,34.649436950683594,0.0,100.00740051269531,-103.77766418457031,64.51703643798828,-23.922893524169922,34.394378662109375,0.0
75,-3.92724609375,-2.832275390625,-4.926513671875,503.0,-465.0,282.0,-24.20611000061035,34.64820098876953,0.0,100.0457992553711,-103.81316375732422,64.53856658935547,-23.90599822998047,34.37822341918945,0.0
80,-3.928466796875,-2.836181640625,-4.931884765625,491.0,-462.0,288.0,-24.21877670288086,34.62541198730469,0.0,100.08328247070312,-103.84843444824219,64.56055450439453,-23.890478134155273,34.36066818237305,0.0
85,-3.9296875,-2.833251953125,-4.926025390625,490.0,-455.0,296.0,-24.209619522094727,34.66455841064453,0.0,100.12068939208984,-103.88317108154297,64.5831527709961,-23.87412452697754,34.34592819213867,0.0
91,-3.93359375,-2.833740234375,-4.928466796875,497.0,-459.0,288.0,-24.198543548583984,34.68006134033203,0.0,100.15863037109375,-103.918212890625,64.60514068603516,-23.856401443481445,34.331485748291016,0.0
96,-3.9287109375,-2.835205078125,-4.923583984375,503.0,-481.0,322.0,-24.23295783996582,34.66328430175781,0.0,100.20470428466797,-103.96227264404297,64.63463592529297,-23.832683563232422,34.307308197021484,0.0
101,-3.930908203125,-2.836669921875,-4.924560546875,498.0,-495.0,305.0,-24.236772537231445,34.67082977294922,0.0,100.24272155761719,-104.00006103515625,64.65792083740234,-23.816898345947266,34.289703369140625,0.0
106,-3.928466796875,-2.8369140625,-4.919189453125,517.0,-510.0,323.0,-24.25810432434082,34.675559997558594,0.0,100.28218841552734,-104.03899383544922,64.68257904052734,-23.800464630126953,34.27112579345703,0.0
111,-3.923583984375,-2.837890625,-4.928955078125,514.0,-496.0,363.0,-24.24984359741211,34.600040435791016,0.0,100.32142639160156,-104.07685852050781,64.71028900146484,-23.78359031677246,34.25004959106445,0.0
116,-3.931640625,-2.833251953125,-4.924072265625,494.0,-484.0,334.0,-24.210668563842773,34.68586730957031,0.0,100.35913848876953,-104.11380767822266,64.73578643798828,-23.766239166259766,34.23381423950195,0.0
121,-3.9228515625,-2.829345703125,-4.9208984375,500.0,-472.0,320.0,-24.20819854736328,34.6480598449707,0.0,100.39730834960938,-104.14984130859375,64.76021575927734,-23.748239517211914,34.216697692871094,0.0
126,-3.92578125,-2.837646484375,-4.9267578125,496.0,-496.0,322.0,-24.249189376831055,34.62458038330078,0.0,100.43517303466797,-104.18770599365234,64.78479766845703,-23.732118606567383,34.19682312011719,0.0
131,-3.931884765625,-2.833251953125,-4.923583984375,531.0,-455.0,279.0,-24.21144676208496,34.68952941894531,0.0,100.4757080078125,-104.22244262695312,64.80609893798828,-23.711769104003906,34.18257141113281,0.0
136,-3.9306640625,-2.833740234375,-4.92919921875,482.0,-474.0,286.0,-24.20280647277832,34.65709686279297,0.0,100.51250457763672,-104.25862884521484,64.82793426513672,-23.694725036621094,34.16550064086914,0.0
141,-3.928466796875,-2.832275390625,-4.921875,496.0,-475.0,312.0,-24.215858459472656,34.675506591796875,0.0,100.55036926269531,-104.29489135742188,64.85175323486328,-23.677047729492188,34.14896774291992,0.0
146,-3.92822265625,-2.83056640625,-4.928955078125,502.0,-490.0,314.0,-24.18462371826172,34.64889907836914,0.0,100.58869171142578,-104.3322982788086,64.87572479248047,-23.65777587890625,34.130313873291016,0.0
151,-3.927490234375,-2.830078125,-4.92431640625,511.0,-522.0,294.0,-24.194808959960938,34.66402053833008,0.0,100.62770080566406,-104.37214660644531,64.8981704711914,-23.638214111328125,34.10982894897461,0.0
156,-3.9267578125,-2.826416015625,-4.9267578125,546.0,-483.0,322.0,-24.162151336669922,34.65763473510742,0.0,100.66938018798828,-104.40901947021484,64.9227523803711,-23.615028381347656,34.09207534790039,0.0
161,-3.928466796875,-2.83251953125,-4.92724609375,498.0,-506.0,304.0,-24.203420639038086,34.65296173095703,0.0,100.7073974609375,-104.44764709472656,64.94596099853516,-23.596872329711914,34.07245635986328,0.0
166,-3.92919921875,-2.830810546875,-4.926025390625,491.0,-481.0,311.0,-24.19218635559082,34.666969299316406,0.0,100.74488067626953,-104.48436737060547,64.9697036743164,-23.5788631439209,34.0551643371582,0.0
171,-3.929443359375,-2.82763671875,-4.9208984375,489.0,-463.0,308.0,-24.1812686920166,34.697086334228516,0.0,100.78221130371094,-104.51971435546875,64.99321746826172,-23.560659408569336,34.04006576538086,0.0
176,-3.9287109375,-2.8310546875,-4.923828125,498.0,-473.0,293.0,-24.200908660888672,34.672054290771484,0.0,100.82022857666016,-104.55582427978516,65.01558685302734,-23.542360305786133,34.023380279541016,0.0
181,-3.927490234375,-2.83154296875,-4.91748046875,509.0,-461.0,307.0,-24.224082946777344,34.68855285644531,0.0,100.85908508300781,-104.59101867675781,65.03902435302734,-23.523889541625977,34.00800323486328,0.0
186,-3.9296875,-2.833251953125,-4.923583984375,492.0,-491.0,298.0,-24.216110229492188,34.67454147338867,0.0,100.89664459228516,-104.62850189208984,65.06177520751953,-23.506439208984375,33.98992156982422,0.0
191,-3.927490234375,-2.83154296875,-4.9267578125,494.0,-471.0,320.0,-24.19940185546875,34.65059280395508,0.0,100.93435668945312,-104.66445922851562,65.0862045288086,-23.488351821899414,33.97267532348633,0.0
196,-3.9267578125,-2.8349609375,-4.92529296875,502.0,-503.0,285.0,-24.230709075927734,34.64354705810547,0.0,100.9726791381836,-104.7028579711914,65.10796356201172,-23.470481872558594,33.952857971191406,0.0
201,-3.926513671875,-2.833740234375,-4.92626953125,492.0,-502.0,318.0,-24.219392776489258,34.6407585144043,0.0,101.01023864746094,-104.74118041992188,65.13224029541016,-23.453033447265625,33.93310546875,0.0
206,-3.927001953125,-2.833251953125,-4.919677734375,494.0,-511.0,281.0,-24.232208251953125,34.67219924926758,0.0,101.0479507446289,-104.78018951416016,65.15369415283203,-23.43572425842285,33.91352844238281,0.0
211,-3.927734375,-2.83544921875,-4.9267578125,478.0,-491.0,305.0,-24.228429794311523,34.64307403564453,0.0,101.08444213867188,-104.81767272949219,65.1769790649414,-23.41947364807129,33.894771575927734,0.0
216,-3.92919921875,-2.831787109375,-4.92236328125,510.0,-458.0,311.0,-24.20931053161621,34.67965316772461,0.0,101.12337493896484,-104.8526382446289,65.20072174072266,-23.40032386779785,33.87937927246094,0.0
221,-3.929931640625,-2.8359375,-4.92236328125,494.0,-498.0,319.0,-24.239152908325195,34.67487716674805,0.0,101.16108703613281,-104.89065551757812,65.2250747680664,-23.383085250854492,33.86083221435547,0.0
227,-3.93115234375,-2.834228515625,-4.923583984375,484.0,-465.0,328.0,-24.220388412475586,34.68223571777344,0.0,101.19803619384766,-104.92615509033203,65.25011444091797,-23.366127014160156,33.84492874145508,0.0
232,-3.927978515625,-2.831787109375,-4.92333984375,508.0,-456.0,313.0,-24.20930290222168,34.667327880859375,0.0,101.24456787109375,-104.96792602539062,65.2787857055664,-23.339536666870117,33.82252883911133,0.0
237,-3.92724609375,-2.8310546875,-4.9306640625,504.0,-475.0,320.0,-24.185842514038086,34.63410568237305,0.0,101.28304290771484,-105.00418853759766,65.30321502685547,-23.320497512817383,33.804893493652344,0.0
242,-3.92822265625,-2.833740234375,-4.925537109375,498.0,-493.0,308.0,-24.21771812438965,34.65541458129883,0.0,101.32106018066406,-105.04182434082031,65.32672882080078,-23.302623748779297,33.7863883972168,0.0
247,-3.927490234375,-2.836181640625,-4.9267578125,506.0,-481.0,325.0,-24.234485626220703,34.639686584472656,0.0,101.35968780517578,-105.07854461669922,65.3515396118164,-23.28449821472168,33.76847457885742,0.0
252,-3.926025390625,-2.83056640625,-4.927490234375,490.0,-487.0,312.0,-24.19317054748535,34.639892578125,0.0,101.3970947265625,-105.11572265625,65.37535858154297,-23.266706466674805,33.75013732910156,0.0
257,-3.929443359375,-2.82958984375,-4.92919921875,501.0,-495.0,324.0,-24.17400360107422,34.65851974487305,0.0,101.43534088134766,-105.15351104736328,65.40009307861328,-23.247705459594727,33.73160934448242,0.0
262,-3.92626953125,-2.831298828125,-4.9248046875,507.0,-488.0,321.0,-24.205337524414062,34.650821685791016,0.0,101.47404479980469,-105.19076538085938,65.42459869384766,-23.228918075561523,33.713478088378906,0.0
267,-3.92724609375,-2.83056640625,-4.92138671875,483.0,-480.0,317.0,-24.20681381225586,34.673194885253906,0.0,101.51091766357422,-105.22740936279297,65.44879913330078,-23.211977005004883,33.696407318115234,0.0
272,-3.9296875,-2.831787109375,-4.929931640625,501.0,-485.0,287.0,-24.188159942626953,34.65203094482422,0.0,101.54916381835938,-105.26443481445312,65.47071075439453,-23.193315505981445,33.67854690551758,0.0
277,-3.9296875,-2.8291015625,-4.92431640625,473.0,-474.0,309.0,-24.18276023864746,34.681312561035156,0.0,101.58527374267578,-105.30062103271484,65.49430084228516,-23.17667579650879,33.662086486816406,0.0
282,-3.92333984375,-2.83544921875,-4.916015625,508.0,-471.0,299.0,-24.266389846801758,34.65699005126953,0.0,101.62405395507812,-105.33657836914062,65.51712799072266,-23.158966064453125,33.64537811279297,0.0
287,-3.926025390625,-2.832763671875,-4.927734375,474.0,-470.0,320.0,-24.209144592285156,34.63373565673828,0.0,101.66024017333984,-105.3724594116211,65.54155731201172,-23.142742156982422,33.628318786621094,0.0
292,-3.927734375,-2.830810546875,-4.927734375,490.0,-471.0,286.0,-24.19074821472168,34.649986267089844,0.0,101.69764709472656,-105.40841674804688,65.56339263916016,-23.124963760375977,33.611488342285156,0.0
297,-3.927734375,-2.837890625,-4.92822265625,492.0,-496.0,318.0,-24.242990493774414,34.631351470947266,0.0,101.7352066040039,-105.44628143310547,65.5876693725586,-23.107980728149414,33.59246063232422,0.0
302,-3.931640625,-2.833251953125,-4.9228515625,502.0,-497.0,308.0,-24.213912963867188,34.690860748291016,0.0,101.77352905273438,-105.48422241210938,65.6111831665039,-23.089725494384766,33.5744514465332,0.0
307,-3.9287109375,-2.83203125,-4.927734375,501.0,-481.0,304.0,-24.197912216186523,34.653778076171875,0.0,101.81177520751953,-105.52094268798828,65.63439178466797,-23.071287155151367,33.55701446533203,0.0
312,-3.926513671875,-2.834228515625,-4.925537109375,517.0,-483.0,302.0,-24.22503662109375,34.64260482788086,0.0,101.85124206542969,-105.55781555175781,65.6574478149414,-23.05213737487793,33.53925704956055,0.0
317,-3.93359375,-2.832275390625,-4.92236328125,494.0,-496.0,298.0,-24.203676223754883,34.70847702026367,0.0,101.88895416259766,-105.5956802368164,65.6801986694336,-23.034387588500977,33.52165603637695,0.0
322,-3.923828125,-2.833984375,-4.927490234375,486.0,-474.0,299.0,-24.22368621826172,34.61686706542969,0.0,101.92605590820312,-105.63186645507812,65.7030258178711,-23.0175838470459,33.50419616699219,0.0
327,-3.924560546875,-2.832763671875,-4.92578125,501.0,-439.0,280.0,-24.217449188232422,34.63172149658203,0.0,101.96430206298828,-105.66537475585938,65.72440338134766,-22.999549865722656,33.4896354675293,0.0
332,-3.933349609375,-2.837890625,-4.91796875,496.0,-472.0,298.0,-24.258352279663086,34.71155548095703,0.0,102.00216674804688,-105.70140838623047,65.74715423583984,-22.982568740844727,33.4738655090332,0.0
337,-3.923583984375,-2.837646484375,-4.9267578125,471.0,-479.0,293.0,-24.253854751586914,34.60958480834961,0.0,102.03812408447266,-105.73797607421875,65.76952362060547,-22.967390060424805,33.4559326171875,0.0
342,-3.925537109375,-2.831787109375,-4.923828125,509.0,-483.0,310.0,-24.213184356689453,34.64866638183594,0.0,102.07698059082031,-105.77484893798828,65.7931900024414,-22.948686599731445,33.438350677490234,0.0
347,-3.927001953125,-2.834716796875,-4.9248046875,481.0,-486.0,302.0,-24.229642868041992,34.64778137207031,0.0,102.11370086669922,-105.81195068359375,65.81624603271484,-22.932374954223633,33.42055892944336,0.0
352,-3.9287109375,-2.833740234375,-4.928955078125,457.0,-463.0,308.0,-24.207592010498047,34.644775390625,0.0,102.14859008789062,-105.84729766845703,65.83975982666016,-22.917526245117188,33.40447998046875,0.0
357,-3.927734375,-2.83447265625,-4.927490234375,528.0,-493.0,308.0,-24.219097137451172,34.64237976074219,0.0,102.18889617919922,-105.88493347167969,65.86327362060547,-22.897491455078125,33.38611602783203,0.0
363,-3.927978515625,-2.836181640625,-4.92578125,476.0,-490.0,301.0,-24.23604965209961,34.647010803222656,0.0,102.22523498535156,-105.9223403930664,65.8862533569336,-22.881677627563477,33.36809158325195,0.0
368,-3.9267578125,-2.828125,-4.920654296875,499.0,-488.0,324.0,-24.191312789916992,34.67860794067383,0.0,102.27094268798828,-105.967041015625,65.91593170166016,-22.85598373413086,33.34340286254883,0.0
373,-3.927734375,-2.83056640625,-4.919921875,487.0,-479.0,322.0,-24.209672927856445,34.682525634765625,0.0,102.30812072753906,-106.00360870361328,65.94051361083984,-22.839109420776367,33.32691955566406,0.0
378,-3.930419921875,-2.82861328125,-4.920166015625,503.0,-479.0,316.0,-24.188535690307617,34.70445251464844,0.0,102.34651947021484,-106.04017639160156,65.96463775634766,-22.820737838745117,33.310760498046875,0.0
383,-3.931396484375,-2.83837890625,-4.92626953125,491.0,-455.0,315.0,-24.24410629272461,34.663150787353516,0.0,102.38400268554688,-106.07491302490234,65.98868560791016,-22.80409812927246,33.29581832885742,0.0
388,-3.927001953125,-2.830322265625,-4.92333984375,517.0,-468.0,296.0,-24.200288772583008,34.66411209106445,0.0,102.42346954345703,-106.11064147949219,66.01128387451172,-22.784889221191406,33.279903411865234,0.0
393,-3.929931640625,-2.83203125,-4.923095703125,509.0,-470.0,289.0,-24.20765495300293,34.68107986450195,0.0,102.46232604980469,-106.14652252197266,66.0333480834961,-22.766433715820312,33.26408386230469,0.0
398,-3.92822265625,-2.834716796875,-4.9248046875,499.0,-504.0,301.0,-24.227052688598633,34.65611267089844,0.0,102.50041961669922,-106.18499755859375,66.05632781982422,-22.74903678894043,33.245361328125,0.0
403,-3.926513671875,-2.82958984375,-4.926513671875,509.0,-485.0,309.0,-24.187341690063477,34.649513244628906,0.0,102.53927612304688,-106.2220230102539,66.07991790771484,-22.730363845825195,33.228031158447266,0.0
408,-3.927490234375,-2.8291015625,-4.921875,487.0,-482.0,308.0,-24.19390869140625,34.67631149291992,0.0,102.57645416259766,-106.25881958007812,66.10343170166016,-22.71347999572754,33.21131896972656,0.0
413,-3.92431640625,-2.8349609375,-4.922607421875,499.0,-458.0,290.0,-24.243043899536133,34.637855529785156,0.0,102.61454772949219,-106.29378509521484,66.12557220458984,-22.69637107849121,33.195919036865234,0.0
418,-3.930419921875,-2.829833984375,-4.919189453125,508.0,-470.0,310.0,-24.20037269592285,34.7055778503418,0.0,102.65332794189453,-106.32966613769531,66.14923858642578,-22.678037643432617,33.18052291870117,0.0
423,-3.927734375,-2.829833984375,-4.921142578125,488.0,-484.0,300.0,-24.200881958007812,34.67925262451172,0.0,102.69058227539062,-106.36661529541016,66.1721420288086,-22.661256790161133,33.163726806640625,0.0
428,-3.92529296875,-2.832763671875,-4.93017578125,513.0,-486.0,296.0,-24.20420265197754,34.61875915527344,0.0,102.72974395751953,-106.40371704101562,66.19474029541016,-22.642656326293945,33.146018981933594,0.0
433,-3.932861328125,-2.83154296875,-4.9228515625,514.0,-477.0,315.0,-24.198392868041992,34.703208923339844,0.0,102.76898193359375,-106.44013214111328,66.21878814697266,-22.62394905090332,33.13011932373047,0.0
438,-3.935302734375,-2.830810546875,-4.9287109375,506.0,-488.0,295.0,-24.17212677001953,34.697593688964844,0.0,102.80760955810547,-106.47738647460938,66.2413101196289,-22.60555648803711,33.11333084106445,0.0
443,-3.923828125,-2.83544921875,-4.927490234375,530.0,-487.0,300.0,-24.234766006469727,34.613426208496094,0.0,102.84806823730469,-106.51456451416016,66.26421356201172,-22.586193084716797,33.095577239990234,0.0
