Time,Acc_low_X,Acc_low_Y,Acc_low_Z,Gyro_low_X,Gyro_low_Y,Gyro_low_Z,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Euler_X,Euler_Y,Euler_Z
5,-2.91748046875,-1.826416015625,-4.948974609375,526.0,-473.0,295.0,-17.636436462402344,28.944868087768555,0.0,81.62235260009766,-73.39804077148438,45.776790618896484,-17.098905563354492,28.39063835144043,0.0
10,-2.919189453125,-1.8251953125,-4.960205078125,491.0,-483.0,296.0,-17.595083236694336,28.912601470947266,0.0,81.65983581542969,-73.4349136352539,45.79938507080078,-17.32753562927246,28.632431030273438,0.0
15,-2.91650390625,-1.82470703125,-4.94482421875,486.0,-490.0,327.0,-17.63267707824707,28.957386016845703,0.0,81.69693756103516,-73.47232055664062,45.82434844970703,-17.40431785583496,28.71560287475586,0.0
20,-2.913330078125,-1.81640625,-4.946044921875,493.0,-477.0,319.0,-17.559009552001953,28.938892364501953,0.0,81.73457336425781,-73.50873565673828,45.84870147705078,-17.41470718383789,28.74403953552246,0.0
25,-2.9189453125,-1.823974609375,-4.95166015625,494.0,-452.0,301.0,-17.60552978515625,28.949344635009766,0.0,81.77228546142578,-73.5432357788086,45.87167739868164,-17.422666549682617,28.757457733154297,0.0
30,-2.9208984375,-1.82080078125,-4.951171875,525.0,-495.0,289.0,-17.57514190673828,28.972732543945312,0.0,81.81236267089844,-73.58102416992188,45.89373779296875,-17.41466522216797,28.76182746887207,0.0
35,-2.91552734375,-1.82470703125,-4.955078125,523.0,-479.0,279.0,-17.60868263244629,28.9050235748291,0.0,81.85228729248047,-73.61759185791016,45.915035247802734,-17.40815544128418,28.75093650817871,0.0
40,-2.91845703125,-1.827392578125,-4.949951171875,503.0,-464.0,325.0,-17.641429901123047,28.947219848632812,0.0,81.89068603515625,-73.65301513671875,45.93984603881836,-17.40372085571289,28.744482040405273,0.0
45,-2.916015625,-1.829833984375,-4.948486328125,479.0,-504.0,296.0,-17.670747756958008,28.92934226989746,0.0,81.92725372314453,-73.69149017333984,45.962440490722656,-17.400901794433594,28.730833053588867,0.0
50,-2.9150390625,-1.82275390625,-4.94677734375,472.0,-468.0,292.0,-17.612268447875977,28.939870834350586,0.0,81.96328735351562,-73.72721862792969,45.9847297668457,-17.389629364013672,28.719602584838867,0.0
56,-2.917724609375,-1.8271484375,-4.94873046875,489.0,-474.0,298.0,-17.64331817626953,28.94678497314453,0.0,82.00061798095703,-73.7634048461914,46.007476806640625,-17.3787841796875,28.707387924194336,0.0
61,-2.918212890625,-1.827392578125,-4.948486328125,528.0,-471.0,300.0,-17.645421981811523,28.951509475708008,0.0,82.04898071289062,-73.80654907226562,46.03495788574219,-17.35671043395996,28.688220977783203,0.0
66,-2.9150390625,-1.819091796875,-4.95263671875,521.0,-505.0,275.0,-17.564573287963867,28.920392990112305,0.0,82.08875274658203,-73.84510040283203,46.05595016479492,-17.336027145385742,28.6705379486084,0.0
71,-2.9208984375,-1.823486328125,-4.952880859375,515.0,-476.0,279.0,-17.595239639282227,28.96108627319336,0.0,82.12806701660156,-73.88143920898438,46.077247619628906,-17.31808853149414,28.657608032226562,0.0
76,-2.919677734375,-1.829345703125,-4.951904296875,491.0,-483.0,312.0,-17.652481079101562,28.945833206176758,0.0,82.1655502319336,-73.9183120727539,46.1010627746582,-17.30546760559082,28.642471313476562,0.0
81,-2.9150390625,-1.82421875,-4.94677734375,493.0,-484.0,320.0,-17.625547409057617,28.937538146972656,0.0,82.20318603515625,-73.95526123046875,46.125492095947266,-17.290264129638672,28.6263427734375,0.0
86,-2.91552734375,-1.8232421875,-4.950439453125,487.0,-475.0,314.0,-17.60690689086914,28.927349090576172,0.0,82.24036407470703,-73.99152374267578,46.14945983886719,-17.27397918701172,28.609996795654297,0.0
91,-2.915771484375,-1.825927734375,-4.95263671875,520.0,-456.0,297.0,-17.625429153442383,28.915637969970703,0.0,82.28005981445312,-74.02633666992188,46.1721305847168,-17.256107330322266,28.594181060791016,0.0
96,-2.912841796875,-1.8291015625,-4.955322265625,510.0,-491.0,318.0,-17.651775360107422,28.87466049194336,0.0,82.3189926147461,-74.0638198852539,46.19640350341797,-17.24015998840332,28.573514938354492,0.0
101,-2.916748046875,-1.82275390625,-4.95361328125,515.0,-490.0,312.0,-17.592844009399414,28.92458724975586,0.0,82.35830688476562,-74.10122680664062,46.220218658447266,-17.220552444458008,28.55563735961914,0.0
106,-2.91796875,-1.828369140625,-4.951904296875,479.0,-489.0,308.0,-17.646141052246094,28.933181762695312,0.0,82.3948745727539,-74.13855743408203,46.24372863769531,-17.20612335205078,28.53818130493164,0.0
111,-2.916748046875,-1.825439453125,-4.953125,505.0,-472.0,321.0,-17.618371963500977,28.92243003845215,0.0,82.43342590332031,-74.17459106445312,46.26823425292969,-17.18819808959961,28.521379470825195,0.0
116,-2.912841796875,-1.8212890625,-4.955322265625,491.0,-494.0,313.0,-17.58103370666504,28.88705062866211,0.0,82.47090911865234,-74.2123031616211,46.2921257019043,-17.1695613861084,28.501333236694336,0.0
121,-2.91748046875,-1.822265625,-4.953125,510.0,-495.0,281.0,-17.58856201171875,28.93355941772461,0.0,82.50984191894531,-74.25009155273438,46.313575744628906,-17.149860382080078,28.48328399658203,0.0
126,-2.91552734375,-1.826171875,-4.945556640625,503.0,-480.0,296.0,-17.645565032958984,28.94375991821289,0.0,82.5482406616211,-74.28673553466797,46.3361701965332,-17.133010864257812,28.466697692871094,0.0
131,-2.919189453125,-1.824462890625,-4.950439453125,523.0,-485.0,309.0,-17.61261749267578,28.95586585998535,0.0,82.58816528320312,-74.32376098632812,46.35975646972656,-17.113256454467773,28.45009994506836,0.0
136,-2.916748046875,-1.820068359375,-4.9482421875,503.0,-452.0,309.0,-17.581802368164062,28.952035903930664,0.0,82.6265640258789,-74.35826110839844,46.38334274291992,-17.09382438659668,28.435665130615234,0.0
141,-2.91357421875,-1.825439453125,-4.951416015625,498.0,-486.0,304.0,-17.627241134643555,28.90339469909668,0.0,82.66458129882812,-74.3953628540039,46.40654754638672,-17.076438903808594,28.416790008544922,0.0
146,-2.915283203125,-1.82861328125,-4.950927734375,488.0,-485.0,314.0,-17.654701232910156,28.914670944213867,0.0,82.70183563232422,-74.43238830566406,46.43051528930664,-17.060659408569336,28.398426055908203,0.0
151,-2.91650390625,-1.823486328125,-4.955322265625,501.0,-470.0,330.0,-17.595603942871094,28.91402816772461,0.0,82.74008178710938,-74.46826934814453,46.45570755004883,-17.04176139831543,28.381162643432617,0.0
