Time,Acc_low_X,Acc_low_Y,Acc_low_Z,Gyro_low_X,Gyro_low_Y,Gyro_low_Z,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Euler_X,Euler_Y,Euler_Z
5,-2.94677734375,-3.832763671875,-4.92578125,487.0,-495.0,322.0,-33.73249435424805,25.274066925048828,0.0,55.004974365234375,-55.908546447753906,36.36879348754883,-32.82976531982422,24.448192596435547,0.0
10,-2.9443359375,-3.826171875,-4.9228515625,478.0,-480.0,331.0,-33.70432662963867,25.278282165527344,0.0,55.04146194458008,-55.945186614990234,36.39406204223633,-33.246482849121094,24.842710494995117,0.0
15,-2.940673828125,-3.82470703125,-4.92041015625,472.0,-503.0,340.0,-33.71253204345703,25.260786056518555,0.0,55.077491760253906,-55.983585357666016,36.42001724243164,-33.377254486083984,24.955963134765625,0.0
20,-2.93994140625,-3.827880859375,-4.91943359375,470.0,-495.0,335.0,-33.740081787109375,25.251100540161133,0.0,55.11336898803711,-56.02136993408203,36.44559097290039,-33.44081497192383,25.00120735168457,0.0
25,-2.9423828125,-3.83056640625,-4.927734375,497.0,-501.0,346.0,-33.71998596191406,25.240385055541992,0.0,55.15130615234375,-56.05961608886719,36.47200393676758,-33.4661865234375,25.018348693847656,0.0
31,-2.94189453125,-3.822021484375,-4.92724609375,514.0,-482.0,354.0,-33.66401290893555,25.25665283203125,0.0,55.19054412841797,-56.09640884399414,36.499027252197266,-33.466407775878906,25.02734375,0.0
36,-2.942626953125,-3.834228515625,-4.92529296875,477.0,-472.0,343.0,-33.754364013671875,25.24108123779297,0.0,55.23423767089844,-56.139644622802734,36.53044891357422,-33.470054626464844,25.020790100097656,0.0
41,-2.93896484375,-3.82958984375,-4.92333984375,478.0,-471.0,338.0,-33.73872375488281,25.22911262512207,0.0,55.27072525024414,-56.17559814453125,36.556251525878906,-33.47169494628906,25.015357971191406,0.0
46,-2.943115234375,-3.82080078125,-4.92236328125,490.0,-485.0,337.0,-33.672000885009766,25.28217124938965,0.0,55.308128356933594,-56.21261978149414,36.58197784423828,-33.46070098876953,25.01209259033203,0.0
51,-2.940673828125,-3.82421875,-4.927001953125,486.0,-494.0,348.0,-33.68305587768555,25.24338722229004,0.0,55.3452262878418,-56.250328063964844,36.608543395996094,-33.44955825805664,25.001291275024414,0.0
56,-2.94189453125,-3.827880859375,-4.91845703125,483.0,-482.0,341.0,-33.73932647705078,25.268518447875977,0.0,55.38209533691406,-56.2871208190918,36.63457489013672,-33.442405700683594,24.99215316772461,0.0
61,-2.94482421875,-3.826171875,-4.927001953125,492.0,-466.0,342.0,-33.68675231933594,25.27032470703125,0.0,55.41965103149414,-56.32269287109375,36.660682678222656,-33.428367614746094,24.98275375366211,0.0
66,-2.9423828125,-3.82861328125,-4.919921875,484.0,-468.0,332.0,-33.7374267578125,25.266490936279297,0.0,55.45659637451172,-56.35841751098633,36.68602752685547,-33.4180793762207,24.97163963317871,0.0
71,-2.943359375,-3.82958984375,-4.9306640625,488.0,-501.0,372.0,-33.699344635009766,25.241649627685547,0.0,55.49384689331055,-56.396663665771484,36.71442413330078,-33.40362548828125,24.955455780029297,0.0
