Time,Acc_low_X,Acc_low_Y,Acc_low_Z,Gyro_low_X,Gyro_low_Y,Gyro_low_Z,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Euler_X,Euler_Y,Euler_Z
5,-2.913818359375,-2.810546875,-3.922119140625,514.0,-456.0,306.0,-29.90838050842285,31.12693214416504,0.0,29.082199096679688,-25.80055046081543,17.313528060913086,-27.587448120117188,28.88717269897461,0.0
10,-2.9111328125,-2.80224609375,-3.923095703125,552.0,-516.0,313.0,-29.839323043823242,31.124767303466797,0.0,29.12433624267578,-25.83993911743164,17.337421417236328,-28.669326782226562,29.963455200195312,0.0
15,-2.912841796875,-2.795166015625,-3.92431640625,540.0,-575.0,313.0,-29.76670265197754,31.156055450439453,0.0,29.165557861328125,-25.883832931518555,17.36131477355957,-29.002553939819336,30.32620620727539,0.0
21,-2.9091796875,-2.795654296875,-3.926513671875,513.0,-601.0,325.0,-29.77311897277832,31.11324691772461,0.0,29.2047176361084,-25.929710388183594,17.386123657226562,-29.16380500793457,30.486480712890625,0.0
26,-2.90966796875,-2.79541015625,-3.924072265625,498.0,-641.0,302.0,-29.779407501220703,31.12870979309082,0.0,29.250335693359375,-25.988428115844727,17.413787841796875,-29.249401092529297,30.56686019897461,0.0
31,-2.899169921875,-2.794921875,-3.921875,489.0,-648.0,324.0,-29.815650939941406,31.04803466796875,0.0,29.28766441345215,-26.037893295288086,17.438520431518555,-29.31203269958496,30.605276107788086,0.0
36,-2.890380859375,-2.791015625,-3.9423828125,482.0,-541.0,308.0,-29.72394371032715,30.895492553710938,0.0,29.324459075927734,-26.079191207885742,17.462032318115234,-29.339006423950195,30.61109161376953,0.0
41,-2.896484375,-2.796142578125,-3.925537109375,497.0,-441.0,323.0,-29.81960105895996,31.00519371032715,0.0,29.362398147583008,-26.112855911254883,17.4866886138916,-29.3656063079834,30.63066864013672,0.0
46,-2.908203125,-2.7978515625,-3.936279296875,512.0,-343.0,314.0,-29.755815505981445,31.0562686920166,0.0,29.40148162841797,-26.139039993286133,17.510658264160156,-29.374055862426758,30.654508590698242,0.0
51,-2.91259765625,-2.793701171875,-3.915771484375,512.0,-352.0,323.0,-29.7891788482666,31.195087432861328,0.0,29.44056510925293,-26.165910720825195,17.535314559936523,-29.380266189575195,30.68422508239746,0.0
56,-2.912353515625,-2.78857421875,-3.9296875,535.0,-369.0,294.0,-29.688146591186523,31.14886474609375,0.0,29.48140525817871,-26.19407844543457,17.557756423950195,-29.371061325073242,30.700763702392578,0.0
61,-2.90966796875,-2.7919921875,-3.920166015625,453.0,-402.0,299.0,-29.765058517456055,31.155908584594727,0.0,29.5159854888916,-26.22476577758789,17.580581665039062,-29.372142791748047,30.71050262451172,0.0
66,-2.910400390625,-2.798828125,-3.924072265625,421.0,-492.0,339.0,-29.807392120361328,31.124650955200195,0.0,29.54812240600586,-26.2623233795166,17.60645866394043,-29.375926971435547,30.707660675048828,0.0
71,-2.90966796875,-2.80615234375,-3.908447265625,445.0,-524.0,309.0,-29.937889099121094,31.16274070739746,0.0,29.58209228515625,-26.302324295043945,17.630046844482422,-29.384511947631836,30.703012466430664,0.0
76,-2.907470703125,-2.804931640625,-3.927490234375,481.0,-535.0,304.0,-29.85618019104004,31.065887451171875,0.0,29.618810653686523,-26.343164443969727,17.65325355529785,-29.381696701049805,30.68909454345703,0.0
81,-2.910400390625,-2.805419921875,-3.9248046875,547.0,-561.0,294.0,-29.862581253051758,31.10138511657715,0.0,29.660566329956055,-26.385988235473633,17.675695419311523,-29.372636795043945,30.674741744995117,0.0
86,-2.912109375,-2.80078125,-3.933349609375,570.0,-555.0,324.0,-29.781824111938477,31.093881607055664,0.0,29.704078674316406,-26.428354263305664,17.700428009033203,-29.35579490661621,30.659564971923828,0.0
91,-2.912353515625,-2.798828125,-3.92822265625,516.0,-596.0,303.0,-29.784658432006836,31.12388801574707,0.0,29.743467330932617,-26.47385025024414,17.72355842590332,-29.34247589111328,30.642454147338867,0.0
96,-2.906005859375,-2.8056640625,-3.93359375,457.0,-575.0,314.0,-29.84221839904785,31.024852752685547,0.0,29.778352737426758,-26.517744064331055,17.747528076171875,-29.33580780029297,30.62105941772461,0.0
101,-2.903076171875,-2.810302734375,-3.92822265625,409.0,-529.0,299.0,-29.913789749145508,31.008102416992188,0.0,29.809574127197266,-26.55812644958496,17.770353317260742,-29.33515167236328,30.602123260498047,0.0
106,-2.90625,-2.81494140625,-3.927001953125,447.0,-469.0,311.0,-29.950057983398438,31.02680015563965,0.0,29.84369659423828,-26.59392738342285,17.79409408569336,-29.332063674926758,30.588340759277344,0.0
111,-2.908447265625,-2.81689453125,-3.925537109375,516.0,-436.0,311.0,-29.966588973999023,31.046205520629883,0.0,29.883085250854492,-26.62721061706543,17.817834854125977,-29.323455810546875,30.577489852905273,0.0
116,-2.906005859375,-2.81201171875,-3.91796875,569.0,-406.0,318.0,-29.961837768554688,31.07213020324707,0.0,29.92652130126953,-26.658203125,17.84210968017578,-29.309829711914062,30.56947898864746,0.0
121,-2.90478515625,-2.802001953125,-3.922607421875,532.0,-440.0,303.0,-29.858301162719727,31.07228660583496,0.0,29.967132568359375,-26.691791534423828,17.8652400970459,-29.29391860961914,30.558382034301758,0.0
