Time,Acc_low_X,Acc_low_Y,Acc_low_Z,Gyro_low_X,Gyro_low_Y,Gyro_low_Z,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Euler_X,Euler_Y,Euler_Z
5,-2.94775390625,-2.8427734375,-5.95556640625,486.0,-491.0,342.0,-23.16107749938965,24.069358825683594,0.0,198.02088928222656,-200.05813598632812,139.3480224609375,-22.986536026000977,23.892505645751953,0.0
10,-2.951416015625,-2.842529296875,-5.950439453125,490.0,-488.0,336.0,-23.16855812072754,24.11117935180664,0.0,198.05828857421875,-200.0953826904297,139.37367248535156,-23.058801651000977,23.98316764831543,0.0
15,-2.94921875,-2.839599609375,-5.95263671875,505.0,-496.0,332.0,-23.144100189208984,24.092939376831055,0.0,198.09683227539062,-200.13323974609375,139.39901733398438,-23.061527252197266,23.9945068359375,0.0
20,-2.949462890625,-2.8466796875,-5.94775390625,477.0,-510.0,352.0,-23.20903968811035,24.099088668823242,0.0,198.13323974609375,-200.1721649169922,139.42588806152344,-23.071094512939453,23.991453170776367,0.0
25,-2.947998046875,-2.843994140625,-5.94970703125,485.0,-498.0,338.0,-23.186023712158203,24.086530685424805,0.0,198.17025756835938,-200.21017456054688,139.45169067382812,-23.064464569091797,23.980058670043945,0.0
30,-2.953125,-2.84033203125,-5.951171875,466.0,-485.0,334.0,-23.148122787475586,24.124475479125977,0.0,198.20582580566406,-200.2471923828125,139.47718811035156,-23.048768997192383,23.973283767700195,0.0
35,-2.951904296875,-2.843505859375,-5.952392578125,475.0,-480.0,345.0,-23.169540405273438,24.107643127441406,0.0,198.24208068847656,-200.28382873535156,139.50352478027344,-23.034954071044922,23.961082458496094,0.0
40,-2.9501953125,-2.84619140625,-5.952880859375,484.0,-495.0,315.0,-23.19011688232422,24.09010124206543,0.0,198.27902221679688,-200.3216094970703,139.52757263183594,-23.022037506103516,23.94416046142578,0.0
45,-2.953857421875,-2.8466796875,-5.955810546875,483.0,-492.0,331.0,-23.18040657043457,24.107358932495117,0.0,198.31588745117188,-200.35916137695312,139.55284118652344,-23.006879806518555,23.928930282592773,0.0
50,-2.946533203125,-2.846435546875,-5.953369140625,508.0,-468.0,324.0,-23.195602416992188,24.06182861328125,0.0,198.3546600341797,-200.39488220214844,139.57757568359375,-22.99087905883789,23.91008758544922,0.0
55,-2.946044921875,-2.84619140625,-5.949951171875,482.0,-487.0,297.0,-23.204069137573242,24.068605422973633,0.0,198.39144897460938,-200.4320526123047,139.60025024414062,-22.976844787597656,23.890727996826172,0.0
60,-2.951416015625,-2.8447265625,-5.9560546875,489.0,-488.0,336.0,-23.168880462646484,24.091711044311523,0.0,198.42877197265625,-200.46929931640625,139.6259002685547,-22.958663940429688,23.873363494873047,0.0
