Time,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Euler_X,Euler_Y,Euler_Z
5,-33.68301773071289,25.300844192504883,0.0,323.8083190917969,-328.51092529296875,240.5049285888672,-33.579200744628906,25.198097229003906,0.0
10,-33.689857482910156,25.294771194458008,0.0,323.84686279296875,-328.5478820800781,240.5321044921875,-33.61524200439453,25.227949142456055,0.0
15,-33.763572692871094,25.281021118164062,0.0,323.88372802734375,-328.5865173339844,240.55950927734375,-33.64010238647461,25.219886779785156,0.0
20,-33.7216911315918,25.313724517822266,0.0,323.9210510253906,-328.62078857421875,240.5862274169922,-33.63250732421875,25.217641830444336,0.0
25,-33.68529510498047,25.325231552124023,0.0,323.9573059082031,-328.65667724609375,240.61294555664062,-33.61405944824219,25.21046257019043,0.0
30,-33.682823181152344,25.292272567749023,0.0,323.9927978515625,-328.6934814453125,240.6392059326172,-33.595947265625,25.19344139099121,0.0
35,-33.70209884643555,25.23876190185547,0.0,324.0295104980469,-328.7292785644531,240.66561889648438,-33.57965087890625,25.169235229492188,0.0
40,-33.717132568359375,25.304609298706055,0.0,324.0665283203125,-328.7648620605469,240.6917266845703,-33.564456939697266,25.155046463012695,0.0
45,-33.731502532958984,25.344635009765625,0.0,324.1035461425781,-328.80218505859375,240.7162322998047,-33.550132751464844,25.142955780029297,0.0
50,-33.72441864013672,25.290084838867188,0.0,324.1417236328125,-328.8387451171875,240.7398223876953,-33.53323745727539,25.12478256225586,0.0
55,-33.69088363647461,25.312923431396484,0.0,324.17950439453125,-328.8769226074219,240.7632598876953,-33.51324462890625,25.107219696044922,0.0
60,-33.714412689208984,25.25157928466797,0.0,324.2159118652344,-328.91265869140625,240.7866973876953,-33.49666976928711,25.086528778076172,0.0
65,-33.716487884521484,25.25788688659668,0.0,324.2529296875,-328.9493103027344,240.81143188476562,-33.47944641113281,25.065921783447266,0.0
70,-33.72215270996094,25.276914596557617,0.0,324.2899475097656,-328.986572265625,240.8340301513672,-33.46245574951172,25.046445846557617,0.0
75,-33.69164276123047,25.278289794921875,0.0,324.32635498046875,-329.0245056152344,240.85914611816406,-33.44380187988281,25.026546478271484,0.0
80,-33.74717712402344,25.28322982788086,0.0,324.3614807128906,-329.061767578125,240.88601684570312,-33.42991638183594,25.007728576660156,0.0
85,-33.687156677246094,25.282360076904297,0.0,324.3973693847656,-329.0982666015625,240.9122772216797,-33.411346435546875,24.98961067199707,0.0
90,-33.69810485839844,25.2423095703125,0.0,324.43408203125,-329.1358337402344,240.93907165527344,-33.39268112182617,24.96824836730957,0.0
95,-33.685081481933594,25.24344253540039,0.0,324.46966552734375,-329.1741638183594,240.96571350097656,-33.374454498291016,24.946510314941406,0.0
100,-33.7005500793457,25.27422332763672,0.0,324.5050048828125,-329.211181640625,240.99342346191406,-33.35728073120117,24.927824020385742,0.0
105,-33.71635437011719,25.26263999938965,0.0,324.5411071777344,-329.2472839355469,241.02182006835938,-33.34010696411133,24.909486770629883,0.0
110,-33.65391540527344,25.28660011291504,0.0,324.5765380859375,-329.2834777832031,241.0496826171875,-33.3206672668457,24.892215728759766,0.0
115,-33.71754837036133,25.284013748168945,0.0,324.6134948730469,-329.3214111328125,241.07777404785156,-33.3027229309082,24.873096466064453,0.0
120,-33.686302185058594,25.252931594848633,0.0,324.65081787109375,-329.35858154296875,241.105712890625,-33.28307342529297,24.85343360900879,0.0
125,-33.67169189453125,25.321277618408203,0.0,324.6878356933594,-329.39630126953125,241.1321258544922,-33.26322555541992,24.83612060546875,0.0
