Time,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z
5,-1.928466797,-2.843505859,-4.942871094,463,-491,333
10,-1.931640625,-2.843261719,-4.941650391,474,-494,326
15,-1.932373047,-2.841796875,-4.94140625,477,-489,365
21,-1.928222656,-2.839111328,-4.945800781,495,-515,316
26,-1.934570313,-2.838867188,-4.937011719,487,-517,327
31,-1.931152344,-2.839111328,-4.940673828,490,-516,336
36,-1.929199219,-2.841796875,-4.9375,479,-501,342
41,-1.935791016,-2.8359375,-4.948730469,470,-481,333
46,-1.934082031,-2.840087891,-4.938964844,481,-473,348
51,-1.933837891,-2.84375,-4.937744141,485,-457,349
56,-1.932617188,-2.845458984,-4.936279297,495,-489,349
61,-1.921142578,-2.838867188,-4.940429688,483,-482,336
66,-1.930664063,-2.838378906,-4.938232422,465,-513,359
71,-1.931396484,-2.844482422,-4.94140625,492,-515,323
76,-1.928955078,-2.841308594,-4.941894531,468,-488,356
81,-1.934326172,-2.842773438,-4.944580078,473,-474,360
86,-1.932373047,-2.843505859,-4.939697266,477,-474,329
91,-1.935302734,-2.846435547,-4.937255859,466,-500,337
96,-1.931396484,-2.83984375,-4.940185547,469,-471,306
101,-1.928710938,-2.840087891,-4.944335938,469,-475,361
106,-1.930419922,-2.841796875,-4.937988281,479,-507,322
111,-1.928222656,-2.841064453,-4.949707031,479,-508,338
116,-1.933105469,-2.842529297,-4.944335938,479,-543,346
121,-1.930908203,-2.840087891,-4.947753906,462,-497,315
126,-1.930175781,-2.839355469,-4.940429688,490,-501,304
131,-1.934570313,-2.839599609,-4.941894531,505,-505,363
136,-1.932861328,-2.83984375,-4.936523438,464,-478,334
141,-1.928955078,-2.838867188,-4.942138672,489,-494,331
146,-1.933837891,-2.843505859,-4.945800781,467,-489,352
151,-1.931396484,-2.846191406,-4.940673828,471,-487,340
157,-1.925537109,-2.843261719,-4.936767578,499,-516,323
162,-1.935791016,-2.847412109,-4.94140625,475,-492,351
167,-1.926269531,-2.840087891,-4.939941406,468,-482,328
172,-1.930419922,-2.841308594,-4.937988281,486,-500,328
177,-1.928710938,-2.844482422,-4.937988281,467,-504,348
182,-1.927490234,-2.845703125,-4.945556641,482,-501,325
187,-1.93359375,-2.842773438,-4.944580078,484,-459,356
192,-1.93359375,-2.840820313,-4.938232422,470,-478,327
197,-1.928222656,-2.840576172,-4.937255859,491,-516,350
202,-1.931640625,-2.841308594,-4.938476563,471,-510,362
207,-1.934814453,-2.845703125,-4.935058594,483,-515,339
212,-1.929931641,-2.839355469,-4.938964844,482,-510,341
217,-1.929931641,-2.839355469,-4.941650391,462,-492,314
222,-1.932617188,-2.838623047,-4.946044922,460,-487,352
227,-1.929199219,-2.837402344,-4.942626953,504,-506,347
232,-1.929443359,-2.843261719,-4.942382813,476,-483,323
237,-1.934570313,-2.841064453,-4.943359375,477,-477,327
242,-1.928710938,-2.842285156,-4.943115234,484,-490,342
247,-1.932617188,-2.840820313,-4.934814453,484,-470,328
252,-1.933349609,-2.842529297,-4.942871094,472,-488,352
257,-1.932373047,-2.840820313,-4.944824219,487,-516,347
262,-1.927978516,-2.843261719,-4.939941406,453,-492,321
267,-1.929199219,-2.841796875,-4.939697266,465,-496,321
272,-1.933837891,-2.844726563,-4.939453125,484,-492,344
277,-1.933105469,-2.844482422,-4.937744141,470,-471,362
282,-1.931640625,-2.842285156,-4.938964844,495,-472,342
287,-1.931884766,-2.842529297,-4.939208984,458,-495,345
293,-1.931152344,-2.845703125,-4.941650391,472,-500,352
298,-1.929931641,-2.84375,-4.9375,465,-494,355
303,-1.928955078,-2.841796875,-4.944091797,469,-485,336
308,-1.93359375,-2.841552734,-4.938232422,481,-516,326
313,-1.932861328,-2.842773438,-4.943115234,471,-493,343
318,-1.927490234,-2.842285156,-4.939453125,478,-488,350
323,-1.934570313,-2.841552734,-4.941162109,482,-492,318
328,-1.931640625,-2.837890625,-4.940185547,480,-477,328
333,-1.928710938,-2.843994141,-4.944091797,489,-500,339
338,-1.927490234,-2.842285156,-4.939453125,483,-521,331
343,-1.930419922,-2.843505859,-4.94140625,492,-509,360
348,-1.9296875,-2.840576172,-4.942382813,467,-501,331
353,-1.930664063,-2.840332031,-4.945800781,490,-486,337
358,-1.930175781,-2.843994141,-4.941162109,471,-485,325
363,-1.927246094,-2.840820313,-4.939208984,485,-490,332
368,-1.932617188,-2.841308594,-4.946044922,479,-490,333
373,-1.931152344,-2.839599609,-4.942871094,501,-469,360
378,-1.932128906,-2.843505859,-4.947265625,499,-488,333
383,-1.930175781,-2.840087891,-4.936035156,497,-503,322
388,-1.934570313,-2.84375,-4.939453125,470,-492,346
393,-1.933349609,-2.841796875,-4.943603516,479,-515,340
398,-1.930908203,-2.843994141,-4.940429688,477,-489,331
403,-1.926025391,-2.841308594,-4.947753906,476,-489,339
408,-1.928466797,-2.846191406,-4.940185547,460,-512,362
413,-1.930664063,-2.843505859,-4.941894531,476,-479,323
418,-1.935546875,-2.83984375,-4.939941406,511,-472,348
423,-1.935058594,-2.842529297,-4.940429688,482,-497,374
429,-1.930908203,-2.835693359,-4.938476563,469,-521,318
434,-1.927978516,-2.844970703,-4.937011719,479,-508,345
439,-1.934814453,-2.842285156,-4.941894531,471,-495,329
444,-1.932373047,-2.838378906,-4.945800781,474,-492,337
449,-1.937988281,-2.841064453,-4.940429688,484,-481,343
454,-1.933105469,-2.841308594,-4.941650391,483,-490,360
459,-1.931884766,-2.842041016,-4.941162109,496,-489,333
464,-1.936035156,-2.839111328,-4.930175781,474,-505,337
469,-1.927978516,-2.844970703,-4.942382813,506,-487,335
474,-1.931152344,-2.838867188,-4.940917969,487,-498,329
479,-1.932128906,-2.841064453,-4.94140625,474,-506,331
484,-1.931640625,-2.841064453,-4.939208984,467,-484,364
489,-1.934082031,-2.843505859,-4.94140625,478,-504,336
494,-1.93359375,-2.841552734,-4.938232422,475,-498,325
499,-1.930908203,-2.843017578,-4.943847656,457,-476,354
504,-1.930664063,-2.845703125,-4.945556641,459,-483,354
509,-1.931152344,-2.842773438,-4.942138672,483,-453,360
514,-1.931396484,-2.840332031,-4.935302734,477,-485,340
