Time,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z
5,-3.930664063,-2.813476563,-4.918701172,477,-517,339
10,-3.927734375,-2.807373047,-4.917236328,482,-488,357
15,-3.937255859,-2.804443359,-4.917480469,465,-494,331
20,-3.936279297,-2.808837891,-4.915771484,489,-499,346
26,-3.932128906,-2.810058594,-4.923095703,482,-501,346
31,-3.935546875,-2.806152344,-4.915283203,484,-504,297
36,-3.934326172,-2.807861328,-4.920654297,467,-484,328
41,-3.931884766,-2.806396484,-4.921142578,489,-497,328
46,-3.935791016,-2.807861328,-4.915039063,476,-483,348
51,-3.934326172,-2.810302734,-4.922363281,476,-461,320
56,-3.930175781,-2.809570313,-4.920898438,476,-500,352
61,-3.934326172,-2.810546875,-4.918945313,472,-505,338
66,-3.930908203,-2.80859375,-4.916259766,462,-506,341
71,-3.928466797,-2.809570313,-4.920166016,478,-513,333
76,-3.931640625,-2.808837891,-4.914306641,487,-501,320
81,-3.935791016,-2.80859375,-4.909667969,465,-493,317
86,-3.930419922,-2.806884766,-4.915039063,488,-491,327
91,-3.930908203,-2.80859375,-4.919677734,474,-502,344
96,-3.931152344,-2.808349609,-4.907470703,464,-464,337
101,-3.934326172,-2.810058594,-4.923095703,470,-480,344
106,-3.933349609,-2.810791016,-4.917480469,478,-473,348
111,-3.9296875,-2.803466797,-4.917724609,489,-474,355
116,-3.932128906,-2.811035156,-4.910644531,445,-481,346
121,-3.931884766,-2.8046875,-4.920654297,475,-491,332
126,-3.933105469,-2.803955078,-4.915039063,490,-501,312
131,-3.933105469,-2.805175781,-4.922851563,480,-508,343
136,-3.936523438,-2.809814453,-4.914550781,469,-476,311
141,-3.926757813,-2.807861328,-4.920166016,478,-491,332
146,-3.934082031,-2.807861328,-4.919189453,479,-472,355
151,-3.934082031,-2.810302734,-4.914550781,483,-466,335
156,-3.929199219,-2.80859375,-4.919921875,500,-506,313
162,-3.937988281,-2.813476563,-4.920410156,457,-496,341
167,-3.934570313,-2.806884766,-4.91796875,449,-485,357
172,-3.930908203,-2.811035156,-4.919189453,481,-499,351
177,-3.931884766,-2.809326172,-4.920898438,481,-503,328
182,-3.935058594,-2.806396484,-4.916503906,477,-489,348
187,-3.930664063,-2.804199219,-4.91796875,483,-497,339
192,-3.936767578,-2.810302734,-4.917236328,476,-518,353
197,-3.934326172,-2.811523438,-4.91015625,480,-490,343
