Time,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z
5,-2.929199219,-1.830566406,-4.942626953,535,-476,297
10,-2.928222656,-1.821777344,-4.942138672,509,-501,283
15,-2.929931641,-1.82421875,-4.944091797,532,-468,290
20,-2.929199219,-1.823730469,-4.939453125,514,-485,278
25,-2.927001953,-1.823730469,-4.943359375,507,-470,270
30,-2.932861328,-1.826416016,-4.942871094,503,-482,255
35,-2.928466797,-1.825927734,-4.950195313,513,-507,264
40,-2.931396484,-1.825439453,-4.948242188,524,-481,272
45,-2.928222656,-1.828125,-4.949462891,506,-485,302
50,-2.927001953,-1.825927734,-4.942382813,511,-485,296
55,-2.927246094,-1.825927734,-4.938232422,521,-493,304
60,-2.9296875,-1.824951172,-4.941650391,525,-481,280
65,-2.92578125,-1.821533203,-4.939208984,504,-458,254
70,-2.926513672,-1.825195313,-4.941162109,515,-475,268
76,-2.928955078,-1.824462891,-4.942382813,502,-500,266
81,-2.927001953,-1.82421875,-4.947021484,498,-482,269
86,-2.930419922,-1.824707031,-4.945800781,498,-479,267
91,-2.930175781,-1.822509766,-4.9453125,499,-479,296
96,-2.922851563,-1.823974609,-4.945556641,502,-477,268
101,-2.930175781,-1.829101563,-4.945800781,517,-500,302
106,-2.932128906,-1.827392578,-4.945556641,508,-485,278
111,-2.931152344,-1.829101563,-4.944091797,485,-462,291
116,-2.927734375,-1.82421875,-4.940673828,534,-482,266
121,-2.930419922,-1.827880859,-4.940673828,526,-482,265
126,-2.926025391,-1.829101563,-4.940185547,504,-482,282
131,-2.925292969,-1.826171875,-4.951171875,501,-476,288
136,-2.932861328,-1.823242188,-4.939208984,516,-495,275
141,-2.930419922,-1.822998047,-4.941894531,515,-505,260
146,-2.931640625,-1.82421875,-4.945556641,503,-471,291
151,-2.933349609,-1.822998047,-4.946777344,510,-496,303
156,-2.929443359,-1.827148438,-4.945556641,521,-494,309
161,-2.928466797,-1.821533203,-4.952636719,521,-479,307
166,-2.927978516,-1.825195313,-4.940917969,508,-489,288
171,-2.929931641,-1.826171875,-4.943359375,509,-479,284
176,-2.928710938,-1.823730469,-4.939208984,504,-479,297
181,-2.9296875,-1.822998047,-4.946289063,501,-494,266
186,-2.930664063,-1.827392578,-4.943847656,495,-495,259
191,-2.930175781,-1.824462891,-4.940673828,487,-462,282
196,-2.930175781,-1.824462891,-4.942871094,509,-486,291
201,-2.926513672,-1.826660156,-4.937255859,551,-468,295
206,-2.930419922,-1.825439453,-4.942626953,539,-472,275
212,-2.927246094,-1.822265625,-4.947021484,510,-459,294
217,-2.930908203,-1.826171875,-4.946289063,498,-485,262
222,-2.924072266,-1.821777344,-4.944824219,504,-487,266
227,-2.927490234,-1.820800781,-4.950439453,494,-520,268
232,-2.927490234,-1.828125,-4.942871094,512,-500,264
237,-2.9296875,-1.822021484,-4.930908203,526,-515,260
242,-2.928710938,-1.823730469,-4.943115234,512,-490,261
247,-2.927246094,-1.826416016,-4.941162109,507,-486,258
252,-2.932128906,-1.823486328,-4.937011719,523,-496,295
257,-2.927978516,-1.822509766,-4.944335938,503,-471,284
262,-2.931884766,-1.8203125,-4.943603516,515,-490,270
267,-2.931396484,-1.823730469,-4.947998047,516,-493,296
272,-2.92578125,-1.827636719,-4.945068359,492,-493,275
277,-2.931396484,-1.826904297,-4.94921875,515,-491,294
282,-2.925292969,-1.825683594,-4.939697266,523,-494,279
287,-2.932617188,-1.827636719,-4.945556641,505,-472,296
292,-2.929931641,-1.829345703,-4.937988281,510,-496,286
297,-2.927734375,-1.823242188,-4.943603516,515,-492,295
302,-2.927734375,-1.828125,-4.949462891,515,-488,281
307,-2.929443359,-1.823730469,-4.945556641,508,-491,281
312,-2.928466797,-1.822753906,-4.948242188,502,-470,284
317,-2.930175781,-1.823730469,-4.948486328,501,-483,293
322,-2.9296875,-1.823730469,-4.940917969,501,-485,290
327,-2.931884766,-1.822753906,-4.947998047,497,-479,267
332,-2.926025391,-1.830322266,-4.941162109,506,-487,295
337,-2.927978516,-1.825439453,-4.937255859,506,-484,281
342,-2.929199219,-1.823974609,-4.945800781,508,-482,303
348,-2.928955078,-1.825195313,-4.940429688,508,-469,308
353,-2.928955078,-1.824462891,-4.943847656,542,-495,278
358,-2.928222656,-1.824951172,-4.942382813,514,-504,302
363,-2.928466797,-1.821533203,-4.947998047,513,-495,266
368,-2.928710938,-1.82421875,-4.938232422,510,-492,258
373,-2.930908203,-1.822753906,-4.945556641,508,-480,286
378,-2.931152344,-1.822021484,-4.944091797,492,-497,271
383,-2.931640625,-1.824462891,-4.939453125,500,-479,267
388,-2.929931641,-1.823730469,-4.946289063,521,-503,261
393,-2.927734375,-1.823974609,-4.942871094,520,-490,300
398,-2.928466797,-1.825927734,-4.943115234,534,-493,275
403,-2.928466797,-1.832275391,-4.940673828,502,-498,266
408,-2.927978516,-1.828369141,-4.944824219,512,-498,291
413,-2.932861328,-1.822753906,-4.943603516,505,-491,282
418,-2.927734375,-1.826660156,-4.947753906,531,-496,280
423,-2.929199219,-1.824707031,-4.937744141,501,-482,284
428,-2.930664063,-1.818603516,-4.945068359,501,-479,286
433,-2.927978516,-1.825439453,-4.943359375,511,-481,274
438,-2.925537109,-1.826904297,-4.938964844,507,-500,262
443,-2.931396484,-1.823242188,-4.950927734,524,-480,289
448,-2.929443359,-1.827880859,-4.939941406,497,-484,279
453,-2.929931641,-1.825439453,-4.943603516,519,-485,268
458,-2.932373047,-1.823242188,-4.946533203,525,-498,273
463,-2.927001953,-1.821533203,-4.942382813,503,-467,287
468,-2.928710938,-1.829345703,-4.943115234,529,-478,289
473,-2.92578125,-1.825927734,-4.946777344,507,-485,274
478,-2.928466797,-1.826416016,-4.946044922,513,-495,272
484,-2.9296875,-1.825927734,-4.944091797,526,-493,272
489,-2.92578125,-1.821777344,-4.932373047,499,-491,289
494,-2.927734375,-1.823242188,-4.946533203,511,-480,301
499,-2.930175781,-1.823730469,-4.9453125,538,-498,280
504,-2.930664063,-1.828369141,-4.943115234,522,-484,289
509,-2.927246094,-1.822998047,-4.9453125,520,-483,281
514,-2.928955078,-1.822265625,-4.951660156,510,-479,290
519,-2.932373047,-1.825439453,-4.938964844,496,-467,269
524,-2.927001953,-1.824951172,-4.942626953,501,-494,296
529,-2.927978516,-1.825683594,-4.945556641,527,-497,295
534,-2.929443359,-1.827148438,-4.937988281,528,-495,275
539,-2.928222656,-1.828125,-4.940185547,506,-506,261
544,-2.931396484,-1.822509766,-4.938476563,499,-455,269
549,-2.931396484,-1.825195313,-4.948974609,515,-498,274
554,-2.930175781,-1.821044922,-4.937988281,526,-480,288
559,-2.9296875,-1.8203125,-4.939697266,509,-491,283
564,-2.925537109,-1.827636719,-4.940185547,542,-497,260
569,-2.928466797,-1.822509766,-4.945068359,513,-485,275
574,-2.928710938,-1.829589844,-4.939453125,500,-499,269
579,-2.92578125,-1.828857422,-4.940917969,523,-486,277
584,-2.930419922,-1.828125,-4.942382813,496,-501,276
589,-2.930908203,-1.827148438,-4.942626953,517,-477,295
594,-2.929199219,-1.823486328,-4.944335938,501,-480,293
599,-2.932373047,-1.824951172,-4.942871094,508,-489,268
604,-2.927734375,-1.825439453,-4.947998047,500,-527,298
609,-2.928955078,-1.823730469,-4.942382813,512,-468,297
614,-2.932617188,-1.826416016,-4.944091797,507,-463,270
620,-2.930175781,-1.830322266,-4.941650391,510,-480,279
625,-2.931640625,-1.821533203,-4.945556641,509,-484,290
630,-2.932617188,-1.823486328,-4.952880859,516,-489,291
635,-2.928222656,-1.826660156,-4.947265625,510,-486,267
640,-2.930908203,-1.826171875,-4.944335938,522,-503,272
645,-2.927734375,-1.823730469,-4.942626953,501,-498,271
650,-2.933105469,-1.827148438,-4.940673828,492,-495,299
655,-2.934326172,-1.822753906,-4.94140625,524,-483,275
660,-2.928710938,-1.822753906,-4.945800781,501,-468,266
665,-2.934082031,-1.823974609,-4.940917969,498,-483,283
670,-2.928710938,-1.822998047,-4.935058594,510,-487,286
675,-2.929199219,-1.822265625,-4.946289063,509,-474,281
680,-2.931884766,-1.82421875,-4.942871094,530,-466,292
685,-2.927246094,-1.824951172,-4.937988281,501,-499,286
690,-2.926513672,-1.825683594,-4.942138672,525,-477,271
695,-2.930664063,-1.827392578,-4.944091797,503,-491,266
700,-2.929931641,-1.828125,-4.946289063,541,-467,288
705,-2.925537109,-1.822509766,-4.947998047,497,-488,253
710,-2.926269531,-1.828857422,-4.944580078,509,-485,268
715,-2.931640625,-1.820800781,-4.945068359,511,-485,285
720,-2.9296875,-1.823486328,-4.946289063,514,-501,267
725,-2.927490234,-1.818603516,-4.945556641,519,-506,266
730,-2.932128906,-1.821777344,-4.948730469,523,-478,255
735,-2.927001953,-1.824951172,-4.937011719,511,-502,262
740,-2.927246094,-1.825195313,-4.943847656,510,-484,279
745,-2.930664063,-1.823974609,-4.940429688,505,-483,279
750,-2.929199219,-1.824951172,-4.940673828,496,-495,285
756,-2.928710938,-1.825927734,-4.942138672,522,-506,264
761,-2.932617188,-1.825927734,-4.943115234,518,-467,259
