Time,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z
5,-2.945800781,-3.826171875,-4.9296875,445,-475,370
10,-2.946289063,-3.823486328,-4.934326172,452,-487,381
15,-2.948486328,-3.824707031,-4.931640625,465,-491,367
20,-2.946533203,-3.828369141,-4.941894531,485,-498,392
25,-2.946533203,-3.825439453,-4.932861328,452,-478,372
30,-2.947998047,-3.823730469,-4.935058594,459,-471,357
35,-2.947998047,-3.828125,-4.935546875,432,-465,390
40,-2.944335938,-3.825439453,-4.930419922,449,-492,355
45,-2.947021484,-3.823974609,-4.926025391,444,-497,382
50,-2.946533203,-3.825195313,-4.934814453,452,-493,388
55,-2.948242188,-3.823486328,-4.931640625,480,-482,386
60,-2.947753906,-3.824462891,-4.934814453,475,-474,372
65,-2.950683594,-3.822753906,-4.927978516,473,-491,395
70,-2.946044922,-3.827392578,-4.925537109,452,-500,390
75,-2.948730469,-3.828125,-4.940185547,453,-466,375
80,-2.948242188,-3.822509766,-4.931152344,481,-484,388
85,-2.950927734,-3.824707031,-4.935058594,463,-495,410
90,-2.950439453,-3.826416016,-4.934082031,458,-475,401
95,-2.950683594,-3.818603516,-4.934814453,459,-486,355
100,-2.947509766,-3.824462891,-4.938476563,442,-499,373
106,-2.947265625,-3.827636719,-4.937988281,432,-516,389
111,-2.947021484,-3.829345703,-4.934814453,471,-487,378
116,-2.948486328,-3.822998047,-4.933837891,450,-481,393
121,-2.946533203,-3.825683594,-4.933837891,440,-490,382
126,-2.949951172,-3.823974609,-4.939941406,448,-482,375
131,-2.949951172,-3.821289063,-4.938964844,453,-465,374
136,-2.944091797,-3.830566406,-4.931396484,453,-464,378
141,-2.948242188,-3.823242188,-4.93359375,480,-482,376
146,-2.947509766,-3.826416016,-4.935058594,489,-470,384
151,-2.949462891,-3.825195313,-4.936767578,451,-481,378
156,-2.951416016,-3.821777344,-4.934082031,455,-485,378
161,-2.951416016,-3.826660156,-4.932128906,453,-482,371
166,-2.946777344,-3.826171875,-4.932373047,452,-468,371
