Time,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z
5,-2.919433594,-2.811767578,-3.926757813,475,-488,315
10,-2.92578125,-2.812255859,-3.929931641,491,-481,326
15,-2.920166016,-2.811279297,-3.924560547,494,-461,305
20,-2.921875,-2.809326172,-3.919921875,518,-472,304
25,-2.923095703,-2.807617188,-3.927490234,493,-491,318
30,-2.927246094,-2.810546875,-3.930664063,486,-467,312
35,-2.921386719,-2.811035156,-3.919189453,517,-494,334
40,-2.923828125,-2.808105469,-3.915771484,523,-482,307
45,-2.920898438,-2.813232422,-3.916503906,511,-496,304
50,-2.922119141,-2.8125,-3.920654297,515,-470,312
55,-2.921142578,-2.809326172,-3.927490234,493,-512,306
60,-2.923583984,-2.810546875,-3.925292969,496,-490,295
65,-2.922119141,-2.8046875,-3.919921875,512,-456,325
70,-2.921386719,-2.808349609,-3.928710938,490,-481,311
75,-2.922363281,-2.810058594,-3.926757813,485,-464,306
80,-2.924316406,-2.812011719,-3.922851563,474,-506,274
86,-2.922851563,-2.807373047,-3.924804688,510,-498,304
91,-2.926757813,-2.810791016,-3.916992188,497,-483,296
96,-2.925048828,-2.811767578,-3.918701172,511,-505,307
101,-2.918457031,-2.810546875,-3.922363281,514,-480,291
106,-2.920166016,-2.810791016,-3.925292969,496,-475,298
111,-2.918457031,-2.810058594,-3.922607422,505,-475,302
116,-2.921386719,-2.807617188,-3.921142578,495,-469,304
121,-2.924316406,-2.811767578,-3.926025391,504,-442,290
126,-2.922851563,-2.809570313,-3.917724609,508,-466,321
131,-2.922363281,-2.809570313,-3.919433594,478,-508,304
136,-2.923828125,-2.809570313,-3.921386719,514,-502,308
141,-2.925048828,-2.808349609,-3.926513672,489,-510,296
146,-2.922363281,-2.810546875,-3.916259766,497,-492,303
151,-2.923583984,-2.802001953,-3.915771484,501,-485,295
156,-2.920166016,-2.813964844,-3.926513672,489,-490,320
161,-2.924316406,-2.808837891,-3.924560547,490,-495,298
166,-2.923828125,-2.804443359,-3.921386719,481,-454,306
171,-2.91796875,-2.807617188,-3.922851563,480,-473,305
176,-2.919921875,-2.809814453,-3.926025391,502,-482,313
181,-2.922851563,-2.810302734,-3.918701172,516,-472,319
186,-2.917236328,-2.807617188,-3.918457031,513,-495,303
191,-2.919921875,-2.806152344,-3.91796875,514,-498,320
196,-2.919677734,-2.807128906,-3.925537109,512,-492,290
201,-2.920410156,-2.809814453,-3.919189453,497,-501,318
206,-2.919189453,-2.807373047,-3.921142578,485,-470,310
211,-2.920654297,-2.809814453,-3.917236328,491,-467,331
216,-2.920166016,-2.808105469,-3.916503906,487,-473,308
221,-2.926025391,-2.812988281,-3.919433594,475,-470,310
227,-2.919921875,-2.810546875,-3.931640625,491,-493,310
232,-2.921142578,-2.811523438,-3.91796875,482,-485,324
237,-2.921630859,-2.810791016,-3.920166016,524,-499,314
242,-2.921386719,-2.809326172,-3.914306641,519,-482,330
247,-2.919921875,-2.8046875,-3.920898438,495,-490,311
252,-2.915771484,-2.80859375,-3.927978516,492,-479,297
257,-2.918457031,-2.809082031,-3.918945313,494,-489,307
262,-2.923583984,-2.810546875,-3.923095703,496,-472,289
267,-2.920410156,-2.810302734,-3.922119141,489,-482,292
272,-2.920410156,-2.812011719,-3.919189453,484,-483,319
277,-2.923095703,-2.806152344,-3.916259766,503,-497,295
282,-2.923828125,-2.810058594,-3.924316406,494,-482,316
287,-2.922119141,-2.808105469,-3.919677734,520,-529,300
292,-2.919921875,-2.811035156,-3.917236328,513,-493,323
297,-2.923095703,-2.810058594,-3.919433594,501,-475,311
