Time,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z
5,-2.957275391,-2.843994141,-5.941162109,490,-466,308
10,-2.962158203,-2.841064453,-5.947265625,490,-481,334
15,-2.957763672,-2.843261719,-5.946533203,489,-492,310
20,-2.959960938,-2.844726563,-5.949707031,512,-508,322
25,-2.959228516,-2.845214844,-5.943847656,510,-496,298
30,-2.954345703,-2.847167969,-5.948486328,486,-510,322
35,-2.955566406,-2.846679688,-5.951660156,480,-509,324
40,-2.956787109,-2.847900391,-5.9453125,502,-490,305
45,-2.958740234,-2.845703125,-5.953125,488,-486,316
50,-2.956542969,-2.845458984,-5.949462891,495,-483,317
55,-2.956542969,-2.844238281,-5.947265625,480,-502,313
60,-2.956542969,-2.845703125,-5.943847656,510,-485,307
65,-2.956542969,-2.846435547,-5.953369141,487,-487,314
70,-2.958251953,-2.848144531,-5.944580078,493,-486,331
75,-2.958496094,-2.844482422,-5.951904297,486,-500,322
80,-2.953369141,-2.845458984,-5.950195313,494,-470,301
85,-2.95703125,-2.847900391,-5.950927734,478,-481,337
90,-2.958251953,-2.846435547,-5.944335938,480,-484,307
95,-2.957519531,-2.842773438,-5.959472656,486,-486,342
100,-2.954833984,-2.844238281,-5.953369141,484,-472,325
105,-2.961181641,-2.845703125,-5.946289063,495,-480,327
110,-2.958496094,-2.844482422,-5.944824219,483,-490,315
115,-2.960205078,-2.849365234,-5.952392578,491,-486,319
120,-2.956787109,-2.843261719,-5.948242188,506,-475,332
126,-2.958496094,-2.845947266,-5.942626953,484,-485,310
131,-2.959960938,-2.843261719,-5.952880859,490,-460,328
136,-2.959472656,-2.844238281,-5.947753906,490,-478,307
141,-2.958007813,-2.843017578,-5.956054688,481,-471,330
146,-2.955322266,-2.842773438,-5.947265625,512,-471,332
151,-2.959960938,-2.843505859,-5.955322266,510,-500,313
156,-2.959716797,-2.843261719,-5.950439453,514,-506,328
161,-2.959716797,-2.845703125,-5.947753906,471,-471,299
166,-2.957275391,-2.842529297,-5.946289063,480,-478,336
171,-2.957275391,-2.844482422,-5.942871094,478,-498,318
176,-2.959472656,-2.841552734,-5.947509766,504,-476,335
181,-2.958007813,-2.845214844,-5.9453125,507,-496,322
186,-2.958251953,-2.846923828,-5.950683594,492,-493,309
191,-2.959228516,-2.843994141,-5.946044922,488,-479,308
196,-2.955566406,-2.846191406,-5.946289063,485,-491,321
201,-2.956787109,-2.844482422,-5.950439453,524,-502,306
206,-2.957763672,-2.846435547,-5.947753906,484,-494,322
211,-2.95703125,-2.845703125,-5.948242188,473,-490,323
216,-2.957763672,-2.844482422,-5.946044922,487,-484,308
221,-2.957275391,-2.843994141,-5.939697266,486,-481,334
226,-2.956298828,-2.843261719,-5.947509766,488,-493,335
231,-2.957763672,-2.841308594,-5.945556641,506,-477,321
236,-2.957763672,-2.845703125,-5.953613281,491,-481,294
241,-2.959228516,-2.842773438,-5.950683594,497,-474,334
246,-2.961425781,-2.84375,-5.952636719,502,-482,303
251,-2.956787109,-2.843261719,-5.947265625,483,-489,334
256,-2.957275391,-2.841796875,-5.946533203,498,-475,305
262,-2.955810547,-2.843994141,-5.946533203,469,-472,320
267,-2.959960938,-2.842773438,-5.945800781,490,-462,329
272,-2.960693359,-2.844726563,-5.947509766,499,-499,319
277,-2.958251953,-2.845703125,-5.946533203,492,-486,341
282,-2.959228516,-2.842285156,-5.945800781,502,-482,327
287,-2.961669922,-2.845214844,-5.947021484,498,-480,324
292,-2.958984375,-2.845703125,-5.949707031,489,-506,289
297,-2.959960938,-2.846679688,-5.944335938,485,-485,315
302,-2.958007813,-2.846191406,-5.951660156,480,-483,305
307,-2.958007813,-2.845214844,-5.950683594,503,-485,304
312,-2.955810547,-2.844970703,-5.951660156,480,-478,312
317,-2.955810547,-2.843261719,-5.942138672,500,-496,304
322,-2.956787109,-2.842041016,-5.950683594,466,-501,314
327,-2.957275391,-2.843261719,-5.950683594,479,-476,322
332,-2.9609375,-2.845703125,-5.944824219,490,-462,302
337,-2.958740234,-2.845703125,-5.948974609,486,-483,320
342,-2.956542969,-2.843017578,-5.946533203,512,-479,309
347,-2.957519531,-2.843261719,-5.953369141,502,-461,307
352,-2.958496094,-2.843505859,-5.943359375,513,-474,332
357,-2.956298828,-2.849365234,-5.945068359,489,-478,321
362,-2.958740234,-2.844482422,-5.94140625,473,-486,298
367,-2.958007813,-2.841796875,-5.944335938,490,-497,310
372,-2.955322266,-2.842529297,-5.945800781,479,-477,331
377,-2.955078125,-2.843261719,-5.948974609,506,-475,313
382,-2.957275391,-2.847167969,-5.943603516,491,-510,324
387,-2.955078125,-2.845703125,-5.943359375,493,-466,328
392,-2.958007813,-2.844970703,-5.951416016,504,-493,338
398,-2.956054688,-2.848144531,-5.940429688,490,-476,309
403,-2.959716797,-2.847900391,-5.946289063,499,-472,312
408,-2.953613281,-2.844726563,-5.947265625,506,-483,323
413,-2.960205078,-2.849365234,-5.948486328,481,-511,324
418,-2.95703125,-2.846679688,-5.947509766,473,-490,307
423,-2.956054688,-2.843505859,-5.948486328,480,-503,323
428,-2.958496094,-2.844970703,-5.950439453,480,-507,323
433,-2.954101563,-2.845458984,-5.942138672,484,-478,323
438,-2.962890625,-2.842773438,-5.946044922,498,-497,346
443,-2.956787109,-2.847167969,-5.9453125,492,-487,318
448,-2.959716797,-2.843017578,-5.947998047,494,-493,337
453,-2.958251953,-2.848632813,-5.959228516,480,-490,310
458,-2.957763672,-2.846435547,-5.947509766,485,-498,318
463,-2.960693359,-2.842285156,-5.9453125,492,-491,344
468,-2.958496094,-2.846435547,-5.938964844,470,-497,337
473,-2.959716797,-2.845703125,-5.944580078,496,-505,307
478,-2.957519531,-2.843994141,-5.947509766,503,-479,316
483,-2.952392578,-2.845703125,-5.947753906,479,-480,316
488,-2.961669922,-2.840820313,-5.937988281,490,-495,330
493,-2.957519531,-2.848876953,-5.944091797,514,-500,311
498,-2.956298828,-2.840576172,-5.942626953,497,-487,315
503,-2.958740234,-2.842773438,-5.942871094,505,-467,307
508,-2.955810547,-2.842285156,-5.943115234,485,-482,336
513,-2.957519531,-2.84375,-5.949462891,512,-516,322
518,-2.955566406,-2.843017578,-5.942871094,466,-481,312
523,-2.958007813,-2.845214844,-5.940673828,497,-517,303
528,-2.955810547,-2.845947266,-5.945556641,501,-482,325
534,-2.957763672,-2.842773438,-5.948242188,500,-497,336
539,-2.958496094,-2.848876953,-5.943847656,515,-479,310
544,-2.956787109,-2.843017578,-5.944335938,500,-460,321
